season,variable,model,region,init_date,scale,lead,week,clim_basis,pcc,rmse,bias,msss_clim,msss_pers,fcst_std,obs_std,fcst_mean,obs_mean,std_ratio
JFM2026,TP,ECMWF,All India,2026-01-01,daily,1,Week 1,era5,0.2498019633828638,1.2529030176988,0.5208142301528891,-1.1880067323711545,-4.019135446890586,1.0877283060584542,0.7066828588121808,0.6699731215289204,0.14915889137603153,1.539202900558178
JFM2026,TP,ECMWF,All India,2026-01-08,daily,1,Week 1,era5,0.5903458744788016,1.313934351827444,-0.16276809777983087,0.3833609695180159,0.009527619097943196,0.9636721467946137,1.615280824957836,0.04403610398108714,0.20680420176091802,0.5965972801167676
JFM2026,TP,ECMWF,All India,2026-01-15,daily,1,Week 1,era5,0.41605973297633686,1.5497591116614569,-0.3295447080776981,0.11053374891900303,0.3142208938508151,1.0582059751938262,1.6095490829073313,0.038474273764162875,0.36801898184186116,0.6574549272411047
JFM2026,TP,ECMWF,All India,2026-01-22,daily,1,Week 1,era5,0.5757242072499654,9.401169779077213,-2.610483112963042,0.2988810387049281,0.37592506795350655,3.8811716343019023,10.69006242543134,1.587289014583736,4.19777212754678,0.3630635144906835
JFM2026,TP,ECMWF,All India,2026-01-29,daily,1,Week 1,era5,0.696200557187216,0.8829816448013292,0.033399223054843725,0.46600524646432795,0.9335808400765782,1.200185526111643,1.0260238265243948,0.23029769995455637,0.19689847689971268,1.1697443032850536
JFM2026,TP,ECMWF,All India,2026-02-05,daily,1,Week 1,era5,0.8753644860757726,0.6977736765238373,-0.03514235323539539,0.81052383673501,0.030023124020136738,1.3920664270939558,1.3994137626239933,0.10197250310517748,0.13711485634057288,0.9947497046790074
JFM2026,TP,ECMWF,All India,2026-02-12,daily,1,Week 1,era5,0.9731351583075524,0.36945245045348274,-0.006970470272175927,0.9597009431980988,-0.1483801046508535,1.5479957040020373,1.6034865153555493,0.07809861056986289,0.08506908084203878,0.9653936526299957
JFM2026,TP,ECMWF,All India,2026-02-19,daily,1,Week 1,era5,0.9828367695276851,0.31278808986493817,0.03855746627043689,0.9742364791783692,-0.08736033735211435,1.6599971495051145,1.682218879154234,0.09288670641190468,0.054329240141467776,0.9867902269291544
JFM2026,TP,ECMWF,All India,2026-02-26,daily,1,Week 1,era5,0.5405834465174938,1.6619553814419705,-0.174377889996293,0.22250891537608108,-1.1674584831134234,1.7017552776399916,1.7457784707222865,0.19790246609899784,0.3722803560952908,0.9747830587783105
JFM2026,TP,ECMWF,All India,2026-03-05,daily,1,Week 1,era5,0.7599476032493792,1.6188665141381235,-0.28798474214398023,0.5915309491130887,0.06407412119213018,2.0739421863952923,2.424974229258791,0.09876129569457681,0.38674603783855704,0.8552429800580628
JFM2026,TP,ECMWF,All India,2026-03-12,daily,1,Week 1,era5,-0.06625937282621572,8.059620125644013,-0.6675842184769433,-0.17006436014435455,0.19101158932461226,2.7550139132372027,7.3643100813970666,1.641417302859916,2.3090015213368593,0.3741034642466542
JFM2026,TP,ECMWF,All India,2026-03-19,daily,1,Week 1,era5,0.4778695580312267,6.510742667190186,-1.6155639215121695,0.3055852925972776,0.5058280667933853,4.283610420589849,7.10869080868158,2.8828610569548188,4.498424978466989,0.6025878091868104
JFM2026,TP,ECMWF,All India,2026-03-26,daily,1,Week 1,era5,0.11859663398601127,3.7254451911113287,-0.9740611173955913,-0.5499725076838922,-0.3974802230699841,2.384241497904359,2.9893280375730145,0.24614725610653937,1.2202083735021312,0.7975844296566679
JFM2026,TP,ECMWF,All India,2026-01-01,daily,2,Week 1,era5,0.8465948537251083,0.4262606231203308,0.05882732210707836,0.784493331874633,0.15815702442039203,0.7439511892981904,0.7762968711744379,0.18708032231421917,0.12825300020714078,0.958333360499943
JFM2026,TP,ECMWF,All India,2026-01-08,daily,2,Week 1,era5,0.8903438551635124,1.5187066138496013,-0.37477578550679264,0.6783639307124626,0.6297333031724703,1.5598936250169544,2.677882450280235,0.27467766783471503,0.6494534533415077,0.5825101190882052
JFM2026,TP,ECMWF,All India,2026-01-15,daily,2,Week 1,era5,0.754398238352122,0.9087356176747547,0.19858018271071423,0.4843831994874891,0.41173834102238793,1.3396279223972356,1.1250764209825723,0.32751990079757787,0.12893971808686366,1.1906994915307951
JFM2026,TP,ECMWF,All India,2026-01-22,daily,2,Week 1,era5,-0.14545203884531208,9.427914176113214,3.2735808451443993,-12.693542429900077,-15.323135838288813,8.11785609722832,2.5157041433361544,3.6453663148746753,0.37178546973027654,3.226872332635655
JFM2026,TP,ECMWF,All India,2026-01-29,daily,2,Week 1,era5,0.8321936304910167,0.7525933404926296,-0.10771688468019217,0.7271107724812832,0.941391669643665,1.1897884021670897,1.3359136790019455,0.19905025865601905,0.30676714333621125,0.8906177254326603
JFM2026,TP,ECMWF,All India,2026-02-05,daily,2,Week 1,era5,0.7766103017553488,0.9734901281527885,0.0033837287399180902,0.6510174595935236,-0.1355479914767972,1.4792564067943605,1.4302782273906338,0.11551396427383304,0.11213023553391499,1.0342438124735223
JFM2026,TP,ECMWF,All India,2026-02-12,daily,2,Week 1,era5,0.9411649617533103,0.5650783013852573,-0.025938047223484976,0.8779101740998189,-0.7827478623915738,1.601154873845965,1.346188041208507,0.07460588617899694,0.1005439334024819,1.1893991216922177
JFM2026,TP,ECMWF,All India,2026-02-19,daily,2,Week 1,era5,0.6607706327501505,1.6833257417793361,-0.19625932959252382,0.4638046605398104,0.046952155927334815,1.7895924484897592,2.1778778631417213,0.11159239881747818,0.307851728410002,0.8217138705419244
JFM2026,TP,ECMWF,All India,2026-02-26,daily,2,Week 1,era5,0.04807279045064688,2.138208730322119,-0.20360173692213332,-0.8651641733436573,-0.44032976314507155,1.6548662855604568,1.4205347743230141,0.22623217384304956,0.4298339107651829,1.1649600667812714
JFM2026,TP,ECMWF,All India,2026-03-05,daily,2,Week 1,era5,0.6066162194827105,2.336014939421969,-0.3234058655174865,0.3513185245851065,-0.027958199577037934,2.205315965867665,2.847287778638375,0.24816035031330697,0.5715662158307934,0.774532164403237
JFM2026,TP,ECMWF,All India,2026-03-12,daily,2,Week 1,era5,0.7133381352595852,6.970622563146235,-0.5769329456660849,0.4999194505747959,0.5972022496634823,5.762234800122326,9.762761608277428,1.9706565311048223,2.5475894767709075,0.5902259044445758
JFM2026,TP,ECMWF,All India,2026-03-19,daily,2,Week 1,era5,0.17140832658034194,8.316682546087756,1.1724668267420777,-0.24784973104941121,-0.15137230439362526,5.296338434092583,7.276941345359,4.016624382016464,2.8441575552743865,0.7278248075299408
JFM2026,TP,ECMWF,All India,2026-03-26,daily,2,Week 1,era5,0.113317092286386,4.870506428160729,-1.239983793887555,-0.15716593865780615,-0.16455215052325278,2.0475486784213532,4.4800396586415845,0.784110958243683,2.0240947521312376,0.45703806984650686
JFM2026,TP,ECMWF,All India,2026-01-01,daily,3,Week 1,era5,0.808009270733211,0.49547745249809666,0.027452192089798357,0.6923562405073851,-0.11691573810497036,0.8314155134107436,0.7410465477817981,0.15002619490789346,0.12257400281809509,1.1219477587466675
JFM2026,TP,ECMWF,All India,2026-01-08,daily,3,Week 1,era5,0.7279293226560724,2.278535727280565,0.4502001968414797,-1.040719606111033,-2.370099765973562,3.096098583866122,1.5590707718218355,0.7692726284309807,0.3190724315895009,1.9858614758380784
JFM2026,TP,ECMWF,All India,2026-01-15,daily,3,Week 1,era5,0.8767923220994733,0.5515701247789978,0.06888896052207284,0.8090544416792832,0.7352501962060585,1.0910443166623522,1.112268434944819,0.19002524657517034,0.12113628605309756,0.9809181690177877
JFM2026,TP,ECMWF,All India,2026-01-22,daily,3,Week 1,era5,0.8800203891641166,0.9480895353607116,0.11266049701902495,0.7803344979299045,0.6980916094953145,1.8528644778419063,1.9649171431629568,0.4158201531579098,0.30315965613888485,0.9429733382341621
JFM2026,TP,ECMWF,All India,2026-01-29,daily,3,Week 1,era5,0.38941243168699485,1.814599967104422,-0.34030401523015297,-0.07068036187371596,0.32692219240949716,1.4466543970098187,1.747201234616586,0.3667806446864374,0.7070846599165905,0.8279838454482774
JFM2026,TP,ECMWF,All India,2026-02-05,daily,3,Week 1,era5,0.9835030151986665,0.2929749616880194,-0.020021218252547723,0.963556045939201,0.8078670560623658,1.4280003074041396,1.2676667318080308,0.05658256308829202,0.07660378134083974,1.1264792800608014
JFM2026,TP,ECMWF,All India,2026-02-12,daily,3,Week 1,era5,0.6559643980157892,1.1501259564164827,-0.13164330650802894,0.32962754097616564,-0.03848096175762672,1.4943303716278835,1.1626624208809972,0.0848909399024446,0.2165342464104736,1.2852659076187978
JFM2026,TP,ECMWF,All India,2026-02-19,daily,3,Week 1,era5,0.6327951223912258,2.0762390036600324,0.30611732973534744,-0.2921634104371569,-1.4390323152326805,2.651915582652618,1.6560166211010436,0.585401125878913,0.2792837961435655,1.6013822257951893
JFM2026,TP,ECMWF,All India,2026-02-26,daily,3,Week 1,era5,0.8004329365733576,0.954681301661691,0.022844470812172158,0.6510947618030842,0.047419698047012404,1.5814235159071288,1.37674341924526,0.26969940470281906,0.2468549338906468,1.1486697476092356
JFM2026,TP,ECMWF,All India,2026-03-05,daily,3,Week 1,era5,0.7455666386291213,1.5036062190921364,0.19742169787667344,0.3710847910326168,-6.872769085000376,2.2360869593432007,1.6329949006196312,0.3648535105552342,0.16743181267856078,1.3693165597116865
JFM2026,TP,ECMWF,All India,2026-03-12,daily,3,Week 1,era5,0.37982103477790324,7.420859105217985,-1.7835309349608583,0.1263051318190792,0.36741086333113027,4.1635856831745865,7.66858446371511,1.4687868585667072,3.2523177935275664,0.5429405782612327
JFM2026,TP,ECMWF,All India,2026-03-19,daily,3,Week 1,era5,0.30733704795728084,4.323803809448212,0.020049791070250574,-0.036394546714192844,0.2963829807610041,2.842252420714675,4.246885704954607,1.3580510546939526,1.3380012636237024,0.6692556895041408
JFM2026,TP,ECMWF,All India,2026-03-26,daily,3,Week 1,era5,-0.21001649673955497,4.94869248156458,0.31697872841104613,-1.5212498725702983,-0.5187198760217346,3.2319393357483484,3.1165478181052153,1.7201257098092615,1.4031469813982154,1.037025428255193
