season,variable,model,region,init_date,scale,lead,week,clim_basis,event,brier,brier_clim,briss_clim,base_rate
JFM2026,TP,FuXi,central_india,2026-01-01,weekly,3,Week 3,era5,tp_above_normal,0.269096288872999,0.11111111111111113,-1.4218665998569908,0.0
JFM2026,TP,FuXi,central_india,2026-01-01,weekly,4,Week 4,era5,tp_above_normal,0.2723671412468405,0.11363442977558114,-1.39687163287345,0.00756995599341006
JFM2026,TP,FuXi,central_india,2026-01-01,weekly,5,Week 5,era5,tp_above_normal,0.14980746543334875,0.11237706589414778,-0.3330786334505127,0.003797864349110029
JFM2026,TP,FuXi,central_india,2026-01-01,weekly,6,Week 6,era5,tp_above_normal,0.1651024561638312,0.11111111111111113,-0.48592210547448067,0.0
JFM2026,TP,FuXi,east_northeast_india,2026-01-01,weekly,1,Week 1,era5,tp_above_normal,0.0,0.11111111111111113,1.0,0.0
JFM2026,TP,FuXi,east_northeast_india,2026-01-01,weekly,2,Week 2,era5,tp_above_normal,0.0,0.11111111111111113,1.0,0.0
JFM2026,TP,FuXi,east_northeast_india,2026-01-01,weekly,3,Week 3,era5,tp_above_normal,0.05288446398305792,0.11111111111111113,0.5240398241524789,0.0
JFM2026,TP,FuXi,east_northeast_india,2026-01-01,weekly,4,Week 4,era5,tp_above_normal,0.06054637270002886,0.11111111111111113,0.45508264569974033,0.0
JFM2026,TP,FuXi,east_northeast_india,2026-01-01,weekly,5,Week 5,era5,tp_above_normal,0.018171026486651923,0.11111111111111113,0.8364607616201327,0.0
JFM2026,TP,FuXi,east_northeast_india,2026-01-01,weekly,6,Week 6,era5,tp_above_normal,0.01233858820942973,0.11111111111111113,0.8889527061151324,0.0
JFM2026,TP,FuXi,northwest_india,2026-01-01,weekly,1,Week 1,era5,tp_above_normal,6.532233806562947e-09,0.11111111111111113,0.9999999412098958,0.0
JFM2026,TP,FuXi,northwest_india,2026-01-01,weekly,2,Week 2,era5,tp_above_normal,1.1588799077842659e-09,0.11111111111111113,0.9999999895700808,0.0
JFM2026,TP,FuXi,northwest_india,2026-01-01,weekly,3,Week 3,era5,tp_above_normal,0.08571915909986173,0.1128446179238586,0.2403788441403527,0.0052005204382424
JFM2026,TP,FuXi,northwest_india,2026-01-01,weekly,4,Week 4,era5,tp_above_normal,0.4238667665590589,0.12657890073706138,-2.348636811434671,0.046403368877850834
JFM2026,TP,FuXi,northwest_india,2026-01-01,weekly,5,Week 5,era5,tp_above_normal,0.06969528371811821,0.11236977392702811,0.37976840851012406,0.003775988447750982
JFM2026,TP,FuXi,northwest_india,2026-01-01,weekly,6,Week 6,era5,tp_above_normal,0.08147724953119921,0.11111111111111113,0.26670475421920725,0.0
JFM2026,TP,FuXi,south_peninsula,2026-01-01,weekly,1,Week 1,era5,tp_above_normal,0.00010426229579055351,0.11111111111111113,0.999061639337885,0.0
