season,variable,model,region,init_date,scale,lead,week,clim_basis,crps,crps_clim,crps_pers,crpss_clim,crpss_pers,spread,rmse,ssr
JFM2026,TP,ECMWF,All India,2026-01-01,daily,1,Week 1,era5,0.4720292908105676,0.6266074970471999,0.21448231975235885,0.24669064281078734,-1.2007841548691394,0.33712542562932696,1.2529030176988,0.2690754359012746
JFM2026,TP,ECMWF,All India,2026-01-01,daily,2,Week 1,era5,0.15600970548098042,0.6214193886632934,0.18217032628107804,0.7489461894380771,0.1436052804765433,0.1568221699687115,0.4262606231203308,0.3679020802361131
JFM2026,TP,ECMWF,All India,2026-01-01,daily,3,Week 1,era5,0.13650490490689063,0.6202641626051653,0.17628362485071236,0.7799245657953899,0.2256518152352991,0.1278530499597554,0.49547745249809666,0.25804009711268655
JFM2026,TP,ECMWF,All India,2026-01-01,daily,4,Week 1,era5,0.08739419576817126,0.6343934251931344,0.16080023773006033,0.862239751709966,0.45650456117557336,0.1239051134679923,0.2701172047458735,0.4587087060395222
JFM2026,TP,ECMWF,All India,2026-01-01,daily,5,Week 1,era5,0.10394676722775106,0.631077350140343,0.17659442678451825,0.8352868040587501,0.4113813832041957,0.20193493453081002,0.41337070296959444,0.488508094744352
JFM2026,TP,ECMWF,All India,2026-01-01,daily,6,Week 1,era5,0.1401808153947257,0.6433139603165527,0.17194618090839767,0.7820957976323916,0.1847401631478781,0.37480799431658474,0.7207965835416126,0.519991357998642
JFM2026,TP,ECMWF,All India,2026-01-01,daily,7,Week 1,era5,0.07973366094117898,0.6499290078802861,0.1944329069810791,0.8773194303155868,0.5899168398025436,0.2610484863555644,0.34514194919063074,0.7563510809617078
JFM2026,TP,ECMWF,All India,2026-01-01,daily,8,Week 2,era5,0.2270140612245928,0.7483999167076134,0.3611765030169616,0.6966674418895169,0.37145949604055006,0.5604226629404997,1.2082724592097085,0.46382143254928926
JFM2026,TP,ECMWF,All India,2026-01-01,daily,9,Week 2,era5,0.4170591967748271,1.1194008636981647,0.8004797096156212,0.6274264114849897,0.47898842186131996,0.7994783467598527,1.7721837596688546,0.4511260993099503
JFM2026,TP,ECMWF,All India,2026-01-01,daily,10,Week 2,era5,0.3792135087418871,0.8131914999189471,0.42857442737474605,0.533672562022987,0.11517467090890543,1.1356425795179925,1.2643159686180547,0.8982268734288731
JFM2026,TP,ECMWF,All India,2026-01-01,daily,11,Week 2,era5,0.41121972611566554,0.7159258931101865,0.30047252293417254,0.42561132363964427,-0.36857680729014763,1.5389078394653644,0.7428515548793792,2.0716222902908847
JFM2026,TP,ECMWF,All India,2026-01-01,daily,12,Week 2,era5,0.6269000003821079,1.0390080577467953,0.6874027876286513,0.39663605521827194,0.08801649969337655,1.0086208271949508,3.2321911132930743,0.3120548234436952
JFM2026,TP,ECMWF,All India,2026-01-01,daily,13,Week 2,era5,0.2222803322816008,0.6593008056489997,0.19537018676811602,0.662854450689176,-0.13773926287650173,0.8115606400115096,0.3971184299397558,2.0436237122881105
JFM2026,TP,ECMWF,All India,2026-01-01,daily,14,Week 2,era5,0.26444636404866834,0.6560186500988661,0.1663324173462853,0.5968920029806857,-0.5898666553863694,1.047642931887993,0.3407731077734485,3.074312227080087
