model,week,n_paired_initializations,mean_per_initialization_spatial_acc,composite_pattern_spatial_acc
FuXi-S2S,1,31,0.5520454132920024,0.39264563509970624
FuXi-S2S,2,31,0.3395316706260427,-0.011037483937432688
FuXi-S2S,3,31,0.23780589655199294,0.15117803268081373
FuXi-S2S,4,31,0.19184282284923407,-0.009422502631781012
ERPAS,1,31,0.5015482442248856,0.38866072297965676
ERPAS,2,31,0.19397759719204216,0.35986109313405307
ERPAS,3,31,0.07141365258053334,0.22727223732837687
ERPAS,4,31,0.05850208957097967,0.12346854131811213
