week,n_paired_initializations,fuxi_mae_mm_day,erpas_mae_mm_day,erpas_minus_fuxi_mae_mm_day,india_area_percent_fuxi_lower_mae
1,31,3.623108480475495,3.7960027814542556,0.17289429882254737,51.925267114686854
2,31,4.195367877824655,4.747526535300526,0.5521586583854704,78.79337060260632
3,31,4.0756794095961295,4.911628495552957,0.8359490883973113,86.63625827984524
4,31,4.066076002847411,4.55201295304703,0.48593694890899763,83.70012199593606
