method,season,year,week,n_cases,acc_fisher_z_mean_erpas,acc_fisher_z_mean_fuxi_s2s,acc_mean_erpas,acc_mean_fuxi_s2s,acc_mean_fuxi_minus_erpas,acc_fisher_fuxi_minus_erpas
common_imd_1991_2020,ALL,2023,1,52,0.5762698587577304,0.6143092768331214,0.5235535910707104,0.5570519297137546,0.03349833864304419,0.03803941807539102
common_imd_1991_2020,ALL,2023,2,52,0.3179669390378918,0.35950065064212033,0.2854340632431115,0.30706157375222454,0.021627510509113046,0.04153371160422853
common_imd_1991_2020,ALL,2023,3,52,0.21533254455848871,0.2527967061537535,0.18456373118296832,0.2125278286214104,0.02796409743844208,0.03746416159526478
common_imd_1991_2020,ALL,2023,4,52,0.1499478133688751,0.16360560116783202,0.12777215706930475,0.14059448367123528,0.012822326601930528,0.013657787798956905
common_imd_1991_2020,ALL,2024,1,49,0.5093480516208014,0.5350818791771315,0.45493399004201857,0.4673419775030226,0.012407987461004022,0.025733827556330024
common_imd_1991_2020,ALL,2024,2,49,0.27996725297339403,0.27648869949600247,0.23430028885504064,0.2537553028413969,0.019455013986356268,-0.003478553477391566
common_imd_1991_2020,ALL,2024,3,49,0.09466552605273577,0.11583619079676381,0.07697191719088414,0.1047664854007407,0.027794568209856554,0.02117066474402804
common_imd_1991_2020,ALL,2024,4,49,0.07416174673543616,0.13413400527218544,0.057348341952625705,0.12419441104203544,0.06684606908940974,0.059972258536749284
common_imd_1991_2020,ALL,ALL,1,101,0.5446657239476357,0.577222349568266,0.49026289354193914,0.5135292796313202,0.023266386089381086,0.03255662562063033
common_imd_1991_2020,ALL,ALL,2,101,0.2996499733463302,0.3198383511124822,0.260626588539988,0.2812001155875656,0.02057352704757759,0.02018837776615201
common_imd_1991_2020,ALL,ALL,3,101,0.15737305087190553,0.18725206162186886,0.13236572241453146,0.16024757299950135,0.02788185058496989,0.029879010749963325
common_imd_1991_2020,ALL,ALL,4,101,0.11334388695504265,0.14934056822979822,0.09360614775527236,0.13263801279172246,0.039031865036450106,0.03599668127475557
