method,season,year,region,model,week,n_cases,region_target_cells,acc_mean,acc_fisher_z_mean,acc_median,acc_q25,acc_q75,rmse_mean_mm_day,mae_mean_mm_day,bias_mean_mm_day
common_imd_1991_2020,ALL,2023,central_india,ERPAS,1,52,64,0.5892729135008185,0.856592960015258,0.676831249744787,0.4241581095408741,0.8949332116598981,2.3339380478794696,1.638883887207983,0.17178227695252477
common_imd_1991_2020,ALL,2023,central_india,ERPAS,2,52,64,0.3434515479840201,0.5782518043669497,0.4584706947139649,-0.06885878876040476,0.764448470374538,2.9563228926983767,2.2421373845601407,0.4362550899201351
common_imd_1991_2020,ALL,2023,central_india,ERPAS,3,52,64,0.30600286764322165,0.4875800474824086,0.34301122077082297,0.09973014403546325,0.6037996236384324,3.0699813825578484,2.351443550471605,0.36419194998101917
common_imd_1991_2020,ALL,2023,central_india,ERPAS,4,52,64,0.27601717417421356,0.39997837272446457,0.3813141004213244,-0.030399247706188664,0.5731858836182042,3.136498713223854,2.387782883793659,0.18173654661355318
common_imd_1991_2020,ALL,2023,central_india,FuXi-S2S,1,52,64,0.6656602901441163,0.8714747567236488,0.7638159686260071,0.44503671800590133,0.93965367861729,2.193390625113631,1.4904365570755085,-0.18664366462029888
common_imd_1991_2020,ALL,2023,central_india,FuXi-S2S,2,52,64,0.5172577049183582,0.7806392880794634,0.5754683814490256,0.2201865235748923,0.923172878687059,2.611524656218077,1.8321749368870637,-0.3266777502753708
common_imd_1991_2020,ALL,2023,central_india,FuXi-S2S,3,52,64,0.3965633360419619,0.5819689795309854,0.3993911681363933,0.11721330526120802,0.7931162253368147,2.864835132938711,2.097925548584157,-0.1361228839085743
common_imd_1991_2020,ALL,2023,central_india,FuXi-S2S,4,52,64,0.34217888027606297,0.4705815675063013,0.3701864436049066,0.059785442278398965,0.6668217626978499,3.00848933991788,2.234590542826208,0.09845224527667405
common_imd_1991_2020,ALL,2023,east_northeast_india,ERPAS,1,52,36,0.4108726505000274,0.5414910731998949,0.36570391734753216,0.24038291196391154,0.6688298821375669,3.4866967725889717,2.411839119883138,0.280770754640627
common_imd_1991_2020,ALL,2023,east_northeast_india,ERPAS,2,52,36,0.23824247057945547,0.3015352752852817,0.21193062057865705,-0.03958250268252528,0.5037604081232059,4.4608632846064555,3.3582637357302447,1.2038112400687044
common_imd_1991_2020,ALL,2023,east_northeast_india,ERPAS,3,52,36,0.1033516335892125,0.13897701310124339,0.11882308749547857,-0.19388816261493627,0.3215865815523433,4.741166848479283,3.59210609093255,1.5747797533709083
common_imd_1991_2020,ALL,2023,east_northeast_india,ERPAS,4,52,36,0.1378604811176434,0.17558372912758577,0.09588158900105692,-0.16333824852230097,0.4265100191782245,4.891497469170431,3.7228800693651625,1.4728477639801887
common_imd_1991_2020,ALL,2023,east_northeast_india,FuXi-S2S,1,52,36,0.3825531546771702,0.45592272618065643,0.41863120474833304,0.15200186445984154,0.6141278846673612,3.57144488582514,2.3641364953065853,0.443175120792275
common_imd_1991_2020,ALL,2023,east_northeast_india,FuXi-S2S,2,52,36,0.20330892459908345,0.23599514190284757,0.2651594343454946,-0.06819483171420397,0.4251856792338082,4.340424611611578,3.0507039676213994,0.8624907436370157
common_imd_1991_2020,ALL,2023,east_northeast_india,FuXi-S2S,3,52,36,0.10043761688505591,0.11174935763740076,0.09614522392004118,-0.13645742065789035,0.3468845781785517,4.171875786942298,2.9253245656837517,0.8468503678063896
common_imd_1991_2020,ALL,2023,east_northeast_india,FuXi-S2S,4,52,36,0.030729786469985677,0.034371216535110424,0.017103636954734214,-0.21794471647532537,0.2655905130182603,4.585288177878334,3.297457466930454,1.5135259046519753
common_imd_1991_2020,ALL,2023,northwest_india,ERPAS,1,52,68,0.44938776512010736,0.5636149174129933,0.4625644564901926,0.2018526329504253,0.7348179414554259,2.2102049557499344,1.4435565428898103,0.19888606102372036
common_imd_1991_2020,ALL,2023,northwest_india,ERPAS,2,52,68,0.240085905931027,0.3172728901825147,0.26005094884461033,-0.004030948460077622,0.5924299343809841,2.5740562735848895,1.770784094638606,0.2171706827034175
common_imd_1991_2020,ALL,2023,northwest_india,ERPAS,3,52,68,0.10052090988739305,0.1665751568675615,0.06124205950042196,-0.23432502500863442,0.42447526309263856,2.740302161026186,1.990497556629752,0.596048289096766
common_imd_1991_2020,ALL,2023,northwest_india,ERPAS,4,52,68,0.07973516632607673,0.10618344789703182,0.07679731515810675,-0.20103143303699295,0.3697856685200747,2.7092639783310335,1.957932177143292,0.565501647251259
common_imd_1991_2020,ALL,2023,northwest_india,FuXi-S2S,1,52,68,0.6093480965238627,0.7483266845777,0.6540295358524761,0.42593123418180345,0.8500806583727561,1.79680703010364,1.1565877477970974,-0.3721364832415925
common_imd_1991_2020,ALL,2023,northwest_india,FuXi-S2S,2,52,68,0.30263163286838785,0.37560249908084004,0.27201853263720416,0.05475352656472291,0.6347837965874925,2.3634690498920454,1.5355762679649034,-0.4207778280591806
common_imd_1991_2020,ALL,2023,northwest_india,FuXi-S2S,3,52,68,0.1401059129954461,0.1924260980405008,0.19303634019797983,-0.12153648427852683,0.41913646445282154,2.491483980158809,1.6698539103973848,-0.20976605441332524
common_imd_1991_2020,ALL,2023,northwest_india,FuXi-S2S,4,52,68,0.10241579746995948,0.1477541671399942,0.04771031134972112,-0.21067875161638255,0.4005191663769505,2.5010310389647077,1.7190967898617182,0.014225101025411534
common_imd_1991_2020,ALL,2023,south_peninsula,ERPAS,1,52,38,0.5560944910122767,0.712553704911603,0.5820910079454105,0.38931170512423563,0.8510778084807302,2.414098500894856,1.6349364378056561,0.09124786551830023
common_imd_1991_2020,ALL,2023,south_peninsula,ERPAS,2,52,38,0.35376843963472493,0.49883879655756364,0.45726009830497805,-0.004999320739541139,0.7003700094883147,3.3100284069054484,2.434719270913933,0.7393969717574369
common_imd_1991_2020,ALL,2023,south_peninsula,ERPAS,3,52,38,0.2384398693426953,0.347958983519535,0.2757559722828627,-0.02666024193806497,0.5570125041093156,3.503372373808653,2.6180706095893056,0.8194330148118585
