method,case_id,erpas_init,fuxi_init,year,init_month,season_memberships,week,valid_period_start,valid_period_end_exclusive,model,erpas_source_count,acc,rmse_mm_day,mae_mm_day,bias_mm_day
common_imd_1991_2020,paired_20230125,2023-01-25,2023-01-23,2023,1,JF;JFM,2,2023-02-02,2023-02-09,ERPAS,8,0.6424620622895519,0.8951319667562919,0.37240102587826357,0.2102479629117666
common_imd_1991_2020,paired_20230125,2023-01-25,2023-01-23,2023,1,JF;JFM,3,2023-02-09,2023-02-16,ERPAS,8,0.4558694648692864,0.6603585022971598,0.17118400588024457,-0.014364106442453334
common_imd_1991_2020,paired_20230125,2023-01-25,2023-01-23,2023,1,JF;JFM,4,2023-02-16,2023-02-23,ERPAS,8,-0.12838876943644473,1.4160164251481289,0.4890911952518885,0.020492292773625322
common_imd_1991_2020,paired_20230125,2023-01-25,2023-01-23,2023,1,JF;JFM,1,2023-01-26,2023-02-02,FuXi-S2S,8,0.009373042836637384,1.3126727880855902,0.6526724220415876,-0.1436237742629877
common_imd_1991_2020,paired_20230125,2023-01-25,2023-01-23,2023,1,JF;JFM,2,2023-02-02,2023-02-09,FuXi-S2S,8,0.5986365070432186,0.9179146733968938,0.3186042681267655,0.16439852756814438
common_imd_1991_2020,paired_20230125,2023-01-25,2023-01-23,2023,1,JF;JFM,3,2023-02-09,2023-02-16,FuXi-S2S,8,0.6617206947893732,0.8352719297623675,0.30463811029839044,0.16217550036962078
common_imd_1991_2020,paired_20230125,2023-01-25,2023-01-23,2023,1,JF;JFM,4,2023-02-16,2023-02-23,FuXi-S2S,8,0.45073579192873736,1.0654924563370538,0.4115236743082962,0.2690903102719949
common_imd_1991_2020,paired_20230201,2023-02-01,2023-01-30,2023,2,JF;JFM,1,2023-02-02,2023-02-09,ERPAS,4,0.8569464115708729,0.5790414005489133,0.19363825594956519,-0.023670755927742308
common_imd_1991_2020,paired_20230201,2023-02-01,2023-01-30,2023,2,JF;JFM,2,2023-02-09,2023-02-16,ERPAS,4,0.422238810327017,0.7438724848146797,0.20887839063107327,0.04725227157584363
common_imd_1991_2020,paired_20230201,2023-02-01,2023-01-30,2023,2,JF;JFM,3,2023-02-16,2023-02-23,ERPAS,4,0.2023831634881882,1.2585371443349296,0.34355007676702104,-0.1114394906974447
common_imd_1991_2020,paired_20230201,2023-02-01,2023-01-30,2023,2,JF;JFM,4,2023-02-23,2023-03-02,ERPAS,4,0.556342539416958,0.9126999886116676,0.33905863552392257,0.2994228271453525
common_imd_1991_2020,paired_20230201,2023-02-01,2023-01-30,2023,2,JF;JFM,1,2023-02-02,2023-02-09,FuXi-S2S,4,0.8884883535031467,0.5185991018551256,0.16202659496465735,-0.062459935929325285
common_imd_1991_2020,paired_20230201,2023-02-01,2023-01-30,2023,2,JF;JFM,2,2023-02-09,2023-02-16,FuXi-S2S,4,0.5760072908832299,0.8138462629088146,0.2898256970434165,-0.004981249003222492
common_imd_1991_2020,paired_20230201,2023-02-01,2023-01-30,2023,2,JF;JFM,3,2023-02-16,2023-02-23,FuXi-S2S,4,0.33823314616346684,1.3608846929958092,0.4610417351561771,0.4032949404334766
common_imd_1991_2020,paired_20230201,2023-02-01,2023-01-30,2023,2,JF;JFM,4,2023-02-23,2023-03-02,FuXi-S2S,4,0.06163193804693044,1.4997429790534313,0.6151243459053309,0.6032532096900095
common_imd_1991_2020,paired_20230208,2023-02-08,2023-02-06,2023,2,JF;JFM,1,2023-02-09,2023-02-16,ERPAS,4,0.5778366783965699,0.6186987220891108,0.18417006705322644,0.03484081917723586
common_imd_1991_2020,paired_20230208,2023-02-08,2023-02-06,2023,2,JF;JFM,2,2023-02-16,2023-02-23,ERPAS,4,-0.20578962771020867,1.4603801719379002,0.5308219427888012,0.19505495037937334
common_imd_1991_2020,paired_20230208,2023-02-08,2023-02-06,2023,2,JF;JFM,3,2023-02-23,2023-03-02,ERPAS,4,0.6427126457981139,0.7964380523365044,0.3454738264568189,0.2666783691544165
common_imd_1991_2020,paired_20230208,2023-02-08,2023-02-06,2023,2,JF;JFM,4,2023-03-02,2023-03-09,ERPAS,4,0.03638868816164411,1.152274164342447,0.570208351928346,0.3013823443090491
common_imd_1991_2020,paired_20230208,2023-02-08,2023-02-06,2023,2,JF;JFM,1,2023-02-09,2023-02-16,FuXi-S2S,4,0.6251581703703841,1.1799906115531116,0.33957425627203935,0.2182929803091113
common_imd_1991_2020,paired_20230208,2023-02-08,2023-02-06,2023,2,JF;JFM,2,2023-02-16,2023-02-23,FuXi-S2S,4,0.46557145857351145,1.8307444132028927,0.7168434512447364,0.6872182060451979
common_imd_1991_2020,paired_20230208,2023-02-08,2023-02-06,2023,2,JF;JFM,3,2023-02-23,2023-03-02,FuXi-S2S,4,0.1040733481907061,1.5896554943704266,0.6029231468433286,0.5825424315513557
common_imd_1991_2020,paired_20230208,2023-02-08,2023-02-06,2023,2,JF;JFM,4,2023-03-02,2023-03-09,FuXi-S2S,4,-0.3922551147268462,1.8096445529895702,0.8517938417930677,0.6463623963146856
common_imd_1991_2020,paired_20230215,2023-02-15,2023-02-13,2023,2,JF;JFM,1,2023-02-16,2023-02-23,ERPAS,4,0.5237627855962949,0.9899933021375414,0.2976099539266607,-0.003340316527259952
common_imd_1991_2020,paired_20230215,2023-02-15,2023-02-13,2023,2,JF;JFM,2,2023-02-23,2023-03-02,ERPAS,4,0.49672280540982117,1.076092681761611,0.44960349195533467,0.3989958568183942
common_imd_1991_2020,paired_20230215,2023-02-15,2023-02-13,2023,2,JF;JFM,3,2023-03-02,2023-03-09,ERPAS,4,0.057145578326964784,1.193799244517474,0.6092965362336557,0.44696205465124583
common_imd_1991_2020,paired_20230215,2023-02-15,2023-02-13,2023,2,JF;JFM,4,2023-03-09,2023-03-16,ERPAS,4,0.14055932689495668,1.6205318171394405,0.8021520810254029,0.7454078094430303
common_imd_1991_2020,paired_20230215,2023-02-15,2023-02-13,2023,2,JF;JFM,1,2023-02-16,2023-02-23,FuXi-S2S,4,0.6575311899052664,0.9899060948166758,0.2884545698484208,0.20753913075897848
common_imd_1991_2020,paired_20230215,2023-02-15,2023-02-13,2023,2,JF;JFM,2,2023-02-23,2023-03-02,FuXi-S2S,4,0.18671223209569482,2.0759289590421175,0.6545793115658266,0.6330065969196877
common_imd_1991_2020,paired_20230215,2023-02-15,2023-02-13,2023,2,JF;JFM,3,2023-03-02,2023-03-09,FuXi-S2S,4,-0.3246774614738404,1.7481509217712488,0.7332100928065126,0.49380395325576637
common_imd_1991_2020,paired_20230215,2023-02-15,2023-02-13,2023,2,JF;JFM,4,2023-03-09,2023-03-16,FuXi-S2S,4,0.34546241968291463,1.3510366011100083,0.4808193240685409,0.39002610712508956
common_imd_1991_2020,paired_20230222,2023-02-22,2023-02-20,2023,2,JF;JFM,1,2023-02-23,2023-03-02,ERPAS,4,0.26415566116185957,1.10940813239506,0.4202090396287141,0.39153297195118525
common_imd_1991_2020,paired_20230222,2023-02-22,2023-02-20,2023,2,JF;JFM,2,2023-03-02,2023-03-09,ERPAS,4,0.6473883118853514,0.6615130436192715,0.36610320032219773,0.07766344552359469
common_imd_1991_2020,paired_20230222,2023-02-22,2023-02-20,2023,2,JF;JFM,3,2023-03-09,2023-03-16,ERPAS,4,0.5643858627100963,1.0055111578084934,0.6223860814127266,0.470883409481456
common_imd_1991_2020,paired_20230222,2023-02-22,2023-02-20,2023,2,JF;JFM,4,2023-03-16,2023-03-23,ERPAS,4,-0.20095264972135485,3.751990654606364,2.810719099616575,-2.1491166008701383
common_imd_1991_2020,paired_20230222,2023-02-22,2023-02-20,2023,2,JF;JFM,1,2023-02-23,2023-03-02,FuXi-S2S,4,0.710526126133929,1.0483815972781925,0.22288157008620146,0.15879748522933604
common_imd_1991_2020,paired_20230222,2023-02-22,2023-02-20,2023,2,JF;JFM,2,2023-03-02,2023-03-09,FuXi-S2S,4,0.2460396723268323,0.9141042388869249,0.4808599260012073,0.24929434565965447
common_imd_1991_2020,paired_20230222,2023-02-22,2023-02-20,2023,2,JF;JFM,3,2023-03-09,2023-03-16,FuXi-S2S,4,0.44059179691819844,1.0542957773771027,0.46427867158298725,0.3798776666984858
common_imd_1991_2020,paired_20230222,2023-02-22,2023-02-20,2023,2,JF;JFM,4,2023-03-16,2023-03-23,FuXi-S2S,4,0.13231317507959214,3.571768274456086,2.7254735661773957,-2.2124783972953077
common_imd_1991_2020,paired_20230301,2023-03-01,2023-02-27,2023,3,JFM;MAM,1,2023-03-02,2023-03-09,ERPAS,4,0.555474898837623,0.7174298775720634,0.33908354063068863,0.09282697348203538
common_imd_1991_2020,paired_20230301,2023-03-01,2023-02-27,2023,3,JFM;MAM,2,2023-03-09,2023-03-16,ERPAS,4,0.6843629400614812,0.8637253525759887,0.46726043821164237,0.2615178708462897
common_imd_1991_2020,paired_20230301,2023-03-01,2023-02-27,2023,3,JFM;MAM,3,2023-03-16,2023-03-23,ERPAS,4,0.24093521586222338,3.016480777399269,2.1215277507384562,-1.0338282128885437
common_imd_1991_2020,paired_20230301,2023-03-01,2023-02-27,2023,3,JFM;MAM,4,2023-03-23,2023-03-30,ERPAS,4,-0.07618421275635724,2.6144280377499376,1.5827357958257204,1.3464727463911603
common_imd_1991_2020,paired_20230301,2023-03-01,2023-02-27,2023,3,JFM;MAM,1,2023-03-02,2023-03-09,FuXi-S2S,4,0.657626452290473,0.6341320138606675,0.2799444180463416,0.07657267675367331
common_imd_1991_2020,paired_20230301,2023-03-01,2023-02-27,2023,3,JFM;MAM,2,2023-03-09,2023-03-16,FuXi-S2S,4,0.35715294660358343,1.0728478400261066,0.40502570353685663,0.28117135941216853
common_imd_1991_2020,paired_20230301,2023-03-01,2023-02-27,2023,3,JFM;MAM,3,2023-03-16,2023-03-23,FuXi-S2S,4,0.23239464836764678,3.460353040474213,2.58700315107966,-2.050605436072308
common_imd_1991_2020,paired_20230301,2023-03-01,2023-02-27,2023,3,JFM;MAM,4,2023-03-23,2023-03-30,FuXi-S2S,4,0.31141750381232275,1.6010160024329922,0.7875233078225121,0.07659692233374736
common_imd_1991_2020,paired_20230308,2023-03-08,2023-03-06,2023,3,JFM;MAM,1,2023-03-09,2023-03-16,ERPAS,4,0.8130422333156968,0.6830298869136299,0.4502213573844536,0.30030052901710375
common_imd_1991_2020,paired_20230308,2023-03-08,2023-03-06,2023,3,JFM;MAM,2,2023-03-16,2023-03-23,ERPAS,4,0.40507910459982055,2.7407731951287335,1.9762714704554964,-0.6209018928866711
common_imd_1991_2020,paired_20230308,2023-03-08,2023-03-06,2023,3,JFM;MAM,3,2023-03-23,2023-03-30,ERPAS,4,-0.16966958674248647,1.8902771416477484,1.0473790329904373,0.07665521453025717
common_imd_1991_2020,paired_20230308,2023-03-08,2023-03-06,2023,3,JFM;MAM,4,2023-03-30,2023-04-06,ERPAS,4,-0.1038392896417674,2.1697239805207227,1.3851297360051216,-0.5219104453307631
common_imd_1991_2020,paired_20230308,2023-03-08,2023-03-06,2023,3,JFM;MAM,1,2023-03-09,2023-03-16,FuXi-S2S,4,0.9266349596041911,0.4169969056394632,0.160960588825713,-0.0840132727223011
common_imd_1991_2020,paired_20230308,2023-03-08,2023-03-06,2023,3,JFM;MAM,2,2023-03-16,2023-03-23,FuXi-S2S,4,0.4394832715228796,3.524829858350223,2.6519531861882366,-2.516784042729399
common_imd_1991_2020,paired_20230308,2023-03-08,2023-03-06,2023,3,JFM;MAM,3,2023-03-23,2023-03-30,FuXi-S2S,4,0.45925873197532013,1.636696021983339,0.9692448676642609,0.6697126834922793
common_imd_1991_2020,paired_20230308,2023-03-08,2023-03-06,2023,3,JFM;MAM,4,2023-03-30,2023-04-06,FuXi-S2S,4,0.13896477122581213,1.9161580509452805,1.2722721492103708,-0.9804610031690508
common_imd_1991_2020,paired_20230315,2023-03-15,2023-03-13,2023,3,JFM;MAM,1,2023-03-16,2023-03-23,ERPAS,20,0.6533051533925702,2.0734868760807914,1.4905818859539886,0.0696135423320721
common_imd_1991_2020,paired_20230315,2023-03-15,2023-03-13,2023,3,JFM;MAM,2,2023-03-23,2023-03-30,ERPAS,20,0.056134393893588846,1.5961303322973515,0.9599869575223627,0.07252444482192981
common_imd_1991_2020,paired_20230315,2023-03-15,2023-03-13,2023,3,JFM;MAM,3,2023-03-30,2023-04-06,ERPAS,20,-0.26210351642982943,2.1439321718713256,1.373363137110885,-0.582445445141992
