observation,forecast,n_days,last_date,cumulative_mae_mm,cumulative_rmse_mm,endpoint_forecast_mm,endpoint_observed_mm,endpoint_bias_mm,endpoint_absolute_error_mm
IMERG Late,FuXi-S2S,25,2026-07-18,10.408276808407345,17.76821189534815,206.43234252929688,163.80102388390807,42.6313186453888,42.6313186453888
IMERG Late,ECMWF S2S,25,2026-07-18,28.516439856196325,35.2358809404816,231.88263675511163,163.80102388390807,68.08161287120356,68.08161287120356
IMD gauge,FuXi-S2S,25,2026-07-18,13.296479187847067,19.338216069233027,206.43234252929688,162.99057245120648,43.4417700780904,43.4417700780904
IMD gauge,ECMWF S2S,25,2026-07-18,33.32702462574122,38.73233086909871,231.88263675511163,162.99057245120648,68.89206430390516,68.89206430390516
