observation,forecast,n_days,last_date,cumulative_mae_mm,cumulative_rmse_mm,endpoint_forecast_mm,endpoint_observed_mm,endpoint_bias_mm,endpoint_absolute_error_mm
IMERG Late,FuXi-S2S,42,2026-07-13,22.53604264954528,29.124496009169395,277.20477294921875,217.58997089501474,59.614802054204006,59.614802054204006
IMERG Late,ECMWF S2S,42,2026-07-13,41.59750300636765,50.662577910862524,305.65978479554434,217.58997089501474,88.0698139005296,88.0698139005296
IMD gauge,FuXi-S2S,42,2026-07-13,30.499000354934488,40.71758908489976,277.20477294921875,203.20094095043933,74.00383199877942,74.00383199877942
IMD gauge,ECMWF S2S,42,2026-07-13,51.97998175843155,62.88774776377621,305.65978479554434,203.20094095043933,102.45884384510501,102.45884384510501
