case_id,erpas_init,year,week,valid_period_start,valid_period_end_exclusive,reference,system,fuxi_member_count,acc,rmse_mm_day
paired_20230628,2023-06-28,2023,1,2023-06-29,2023-07-06,IMERG Final V07B,fuxi_exact,5,0.4417865985402151,5.97174268952525
paired_20230628,2023-06-28,2023,2,2023-07-06,2023-07-13,IMERG Final V07B,fuxi_exact,5,-0.3273040865011505,9.40374369987459
paired_20230628,2023-06-28,2023,3,2023-07-13,2023-07-20,IMERG Final V07B,fuxi_exact,5,-0.04687801516248644,7.638541246892991
paired_20230628,2023-06-28,2023,4,2023-07-20,2023-07-27,IMERG Final V07B,fuxi_exact,5,0.480454158044976,8.771241404473031
paired_20230705,2023-07-05,2023,1,2023-07-06,2023-07-13,IMERG Final V07B,erpas,0,0.46121719828519053,5.815463950902796
paired_20230705,2023-07-05,2023,2,2023-07-13,2023-07-20,IMERG Final V07B,erpas,0,0.1687694992519257,6.1908632485267185
paired_20230705,2023-07-05,2023,3,2023-07-20,2023-07-27,IMERG Final V07B,erpas,0,0.4928717131784948,8.686698111650866
paired_20230705,2023-07-05,2023,4,2023-07-27,2023-08-03,IMERG Final V07B,erpas,0,0.23894035292353122,7.721556391696762
paired_20230705,2023-07-05,2023,1,2023-07-06,2023-07-13,IMERG Final V07B,fuxi_2day,5,0.32087475911183666,6.382899860127654
paired_20230705,2023-07-05,2023,2,2023-07-13,2023-07-20,IMERG Final V07B,fuxi_2day,5,0.3000879400556399,6.18147680055259
paired_20230705,2023-07-05,2023,3,2023-07-20,2023-07-27,IMERG Final V07B,fuxi_2day,5,0.47888072373837576,9.088826706114917
paired_20230705,2023-07-05,2023,4,2023-07-27,2023-08-03,IMERG Final V07B,fuxi_2day,5,0.22003585279119067,7.897219759703329
paired_20230705,2023-07-05,2023,1,2023-07-06,2023-07-13,IMERG Final V07B,fuxi_6day,5,-0.10444975183012507,7.78451411379448
paired_20230705,2023-07-05,2023,2,2023-07-13,2023-07-20,IMERG Final V07B,fuxi_6day,5,0.34160286662628647,6.4103336486331175
paired_20230705,2023-07-05,2023,3,2023-07-20,2023-07-27,IMERG Final V07B,fuxi_6day,5,0.5099897046253105,8.588087629489037
paired_20230705,2023-07-05,2023,4,2023-07-27,2023-08-03,IMERG Final V07B,fuxi_6day,5,0.27840872476898215,7.908943937188223
paired_20230705,2023-07-05,2023,1,2023-07-06,2023-07-13,IMERG Final V07B,fuxi_exact,5,0.28757078689843807,6.1125065408623875
paired_20230705,2023-07-05,2023,2,2023-07-13,2023-07-20,IMERG Final V07B,fuxi_exact,5,0.47133697650696005,5.661063434047143
paired_20230705,2023-07-05,2023,3,2023-07-20,2023-07-27,IMERG Final V07B,fuxi_exact,5,0.3492235073939313,9.543915966527168
paired_20230705,2023-07-05,2023,4,2023-07-27,2023-08-03,IMERG Final V07B,fuxi_exact,5,0.6596311730832719,6.0387332196483285
paired_20230712,2023-07-12,2023,1,2023-07-13,2023-07-20,IMERG Final V07B,erpas,0,0.3820053164454428,5.798424673706007
paired_20230712,2023-07-12,2023,2,2023-07-20,2023-07-27,IMERG Final V07B,erpas,0,0.6945445810783809,7.111612458853815
paired_20230712,2023-07-12,2023,3,2023-07-27,2023-08-03,IMERG Final V07B,erpas,0,0.13288013192539905,8.655682980936282
paired_20230712,2023-07-12,2023,4,2023-08-03,2023-08-10,IMERG Final V07B,erpas,0,0.6752383464226818,5.819366178220597
paired_20230712,2023-07-12,2023,1,2023-07-13,2023-07-20,IMERG Final V07B,fuxi_2day,5,0.6501807996654353,4.427780903688992
paired_20230712,2023-07-12,2023,2,2023-07-20,2023-07-27,IMERG Final V07B,fuxi_2day,5,0.4951022053052468,8.960447228899774
paired_20230712,2023-07-12,2023,3,2023-07-27,2023-08-03,IMERG Final V07B,fuxi_2day,5,0.4505416015846186,7.079175552027156
paired_20230712,2023-07-12,2023,4,2023-08-03,2023-08-10,IMERG Final V07B,fuxi_2day,5,0.7247461935306765,3.9009435968863535
paired_20230712,2023-07-12,2023,1,2023-07-13,2023-07-20,IMERG Final V07B,fuxi_6day,5,0.4420897125520552,5.639865757843706
paired_20230712,2023-07-12,2023,2,2023-07-20,2023-07-27,IMERG Final V07B,fuxi_6day,5,0.13944766152067375,10.459196536206472
paired_20230712,2023-07-12,2023,3,2023-07-27,2023-08-03,IMERG Final V07B,fuxi_6day,5,0.5042521535259883,6.7969906925883965
paired_20230712,2023-07-12,2023,4,2023-08-03,2023-08-10,IMERG Final V07B,fuxi_6day,5,0.6942703017743735,4.447999212332764
paired_20230712,2023-07-12,2023,1,2023-07-13,2023-07-20,IMERG Final V07B,fuxi_exact,5,0.49319717695916315,5.118959378823869
paired_20230712,2023-07-12,2023,2,2023-07-20,2023-07-27,IMERG Final V07B,fuxi_exact,5,0.6116287749825174,8.07010825566169
paired_20230712,2023-07-12,2023,3,2023-07-27,2023-08-03,IMERG Final V07B,fuxi_exact,5,0.608054695567753,6.2522506562631825
paired_20230712,2023-07-12,2023,4,2023-08-03,2023-08-10,IMERG Final V07B,fuxi_exact,5,0.3118838380062192,5.980197348718584
paired_20230719,2023-07-19,2023,1,2023-07-20,2023-07-27,IMERG Final V07B,erpas,0,0.657942903470165,7.828512483598921
paired_20230719,2023-07-19,2023,2,2023-07-27,2023-08-03,IMERG Final V07B,erpas,0,0.19048580227817627,7.854324029487648
paired_20230719,2023-07-19,2023,3,2023-08-03,2023-08-10,IMERG Final V07B,erpas,0,0.6802579331892364,6.0181658853684565
paired_20230719,2023-07-19,2023,4,2023-08-10,2023-08-17,IMERG Final V07B,erpas,0,0.46262752997799733,5.533838142439241
paired_20230719,2023-07-19,2023,1,2023-07-20,2023-07-27,IMERG Final V07B,fuxi_2day,5,0.5556621882156493,8.782344835213275
paired_20230719,2023-07-19,2023,2,2023-07-27,2023-08-03,IMERG Final V07B,fuxi_2day,5,0.1315707489012319,8.77285722307299
paired_20230719,2023-07-19,2023,3,2023-08-03,2023-08-10,IMERG Final V07B,fuxi_2day,5,0.34104979607117664,6.091503111424821
paired_20230719,2023-07-19,2023,4,2023-08-10,2023-08-17,IMERG Final V07B,fuxi_2day,5,0.11343301997146793,5.251400928896603
paired_20230719,2023-07-19,2023,1,2023-07-20,2023-07-27,IMERG Final V07B,fuxi_6day,5,0.6836726451087201,7.484486681994915
paired_20230719,2023-07-19,2023,2,2023-07-27,2023-08-03,IMERG Final V07B,fuxi_6day,5,0.006684617477367795,10.25460342309477
paired_20230719,2023-07-19,2023,3,2023-08-03,2023-08-10,IMERG Final V07B,fuxi_6day,5,0.37778694089383363,5.671208131526883
paired_20230719,2023-07-19,2023,4,2023-08-10,2023-08-17,IMERG Final V07B,fuxi_6day,5,0.46641194669209746,4.644648807232457
paired_20230719,2023-07-19,2023,1,2023-07-20,2023-07-27,IMERG Final V07B,fuxi_exact,5,0.689041609009385,7.484306526979011
paired_20230719,2023-07-19,2023,2,2023-07-27,2023-08-03,IMERG Final V07B,fuxi_exact,5,0.062455790063519936,9.117025295501556
paired_20230719,2023-07-19,2023,3,2023-08-03,2023-08-10,IMERG Final V07B,fuxi_exact,5,0.5969157418661702,5.418769109323969
paired_20230719,2023-07-19,2023,4,2023-08-10,2023-08-17,IMERG Final V07B,fuxi_exact,5,0.1623357918666837,4.611661858905416
paired_20230726,2023-07-26,2023,1,2023-07-27,2023-08-03,IMERG Final V07B,erpas,0,0.3859959179181356,7.544448430732987
paired_20230726,2023-07-26,2023,2,2023-08-03,2023-08-10,IMERG Final V07B,erpas,0,0.7181949612964157,4.725344041380862
paired_20230726,2023-07-26,2023,3,2023-08-10,2023-08-17,IMERG Final V07B,erpas,0,0.3738656515569634,5.6508075550090195
paired_20230726,2023-07-26,2023,4,2023-08-17,2023-08-24,IMERG Final V07B,erpas,0,0.10295269984551818,4.321503202560203
paired_20230726,2023-07-26,2023,1,2023-07-27,2023-08-03,IMERG Final V07B,fuxi_2day,5,0.7571909911319284,5.173474655062576
paired_20230726,2023-07-26,2023,2,2023-08-03,2023-08-10,IMERG Final V07B,fuxi_2day,5,0.7688557346632469,4.0197646891523044
paired_20230726,2023-07-26,2023,3,2023-08-10,2023-08-17,IMERG Final V07B,fuxi_2day,5,0.5771932212906082,4.107291277266442
paired_20230726,2023-07-26,2023,4,2023-08-17,2023-08-24,IMERG Final V07B,fuxi_2day,5,-0.16014502189776222,4.89866228946239
paired_20230726,2023-07-26,2023,1,2023-07-27,2023-08-03,IMERG Final V07B,fuxi_6day,5,0.2276158067982879,9.529797736566161
paired_20230726,2023-07-26,2023,2,2023-08-03,2023-08-10,IMERG Final V07B,fuxi_6day,5,0.46277479551607964,5.581359232718814
paired_20230726,2023-07-26,2023,3,2023-08-10,2023-08-17,IMERG Final V07B,fuxi_6day,5,0.17771342551410846,5.07458855287966
paired_20230726,2023-07-26,2023,4,2023-08-17,2023-08-24,IMERG Final V07B,fuxi_6day,5,0.18074169145214597,4.967834508285634
paired_20230726,2023-07-26,2023,1,2023-07-27,2023-08-03,IMERG Final V07B,fuxi_exact,5,0.7494842633936137,5.218027068048452
paired_20230726,2023-07-26,2023,2,2023-08-03,2023-08-10,IMERG Final V07B,fuxi_exact,5,0.6958037612467628,4.661184286526491
paired_20230726,2023-07-26,2023,3,2023-08-10,2023-08-17,IMERG Final V07B,fuxi_exact,5,0.6399644010549128,3.216455915602204
paired_20230726,2023-07-26,2023,4,2023-08-17,2023-08-24,IMERG Final V07B,fuxi_exact,5,-0.007325817737582145,4.332148332718267
paired_20230802,2023-08-02,2023,1,2023-08-03,2023-08-10,IMERG Final V07B,erpas,0,0.43185421328311757,5.876287764048881
paired_20230802,2023-08-02,2023,2,2023-08-10,2023-08-17,IMERG Final V07B,erpas,0,0.0011682865460024853,6.547998469375949
paired_20230802,2023-08-02,2023,3,2023-08-17,2023-08-24,IMERG Final V07B,erpas,0,0.11846140769186653,4.354987286114795
paired_20230802,2023-08-02,2023,4,2023-08-24,2023-08-31,IMERG Final V07B,erpas,0,-0.09668700005118548,7.135406918278168
paired_20230802,2023-08-02,2023,1,2023-08-03,2023-08-10,IMERG Final V07B,fuxi_2day,5,0.6735984011769149,4.652917180385018
paired_20230802,2023-08-02,2023,2,2023-08-10,2023-08-17,IMERG Final V07B,fuxi_2day,5,0.46075170266655874,5.029658966325772
paired_20230802,2023-08-02,2023,3,2023-08-17,2023-08-24,IMERG Final V07B,fuxi_2day,5,0.016564315998567062,5.777086863713897
paired_20230802,2023-08-02,2023,4,2023-08-24,2023-08-31,IMERG Final V07B,fuxi_2day,5,-0.14980374904098737,6.579023279065671
paired_20230802,2023-08-02,2023,1,2023-08-03,2023-08-10,IMERG Final V07B,fuxi_6day,5,0.737908337000309,4.028841945790061
paired_20230802,2023-08-02,2023,2,2023-08-10,2023-08-17,IMERG Final V07B,fuxi_6day,5,0.14993114517564166,4.595940508857916
paired_20230802,2023-08-02,2023,3,2023-08-17,2023-08-24,IMERG Final V07B,fuxi_6day,5,0.1863051641108956,4.001413709972314
paired_20230802,2023-08-02,2023,4,2023-08-24,2023-08-31,IMERG Final V07B,fuxi_6day,5,0.6180307942450297,4.741996668512905
paired_20230802,2023-08-02,2023,1,2023-08-03,2023-08-10,IMERG Final V07B,fuxi_exact,5,0.7452302076849846,4.637358008327095
paired_20230802,2023-08-02,2023,2,2023-08-10,2023-08-17,IMERG Final V07B,fuxi_exact,5,0.554653456638633,3.966195499537233
paired_20230802,2023-08-02,2023,3,2023-08-17,2023-08-24,IMERG Final V07B,fuxi_exact,5,0.1887550084674749,4.549975833014872
paired_20230802,2023-08-02,2023,4,2023-08-24,2023-08-31,IMERG Final V07B,fuxi_exact,5,-0.1309927164074844,7.135698531661652
paired_20230809,2023-08-09,2023,1,2023-08-10,2023-08-17,IMERG Final V07B,erpas,0,0.4434538107573088,4.0250307386002016
paired_20230809,2023-08-09,2023,2,2023-08-17,2023-08-24,IMERG Final V07B,erpas,0,0.17283797550961214,4.164454425461991
paired_20230809,2023-08-09,2023,3,2023-08-24,2023-08-31,IMERG Final V07B,erpas,0,-0.08872731702356554,7.735215356882991
paired_20230809,2023-08-09,2023,4,2023-08-31,2023-09-07,IMERG Final V07B,erpas,0,0.44339820465132834,5.062029474445266
paired_20230809,2023-08-09,2023,1,2023-08-10,2023-08-17,IMERG Final V07B,fuxi_2day,5,0.4972251728709446,4.915129201573728
paired_20230809,2023-08-09,2023,2,2023-08-17,2023-08-24,IMERG Final V07B,fuxi_2day,5,0.02554236432865247,6.901640212120438
paired_20230809,2023-08-09,2023,3,2023-08-24,2023-08-31,IMERG Final V07B,fuxi_2day,5,0.23890369831388888,4.853012694872204
paired_20230809,2023-08-09,2023,4,2023-08-31,2023-09-07,IMERG Final V07B,fuxi_2day,5,-0.22415502875011556,6.720449458882274
paired_20230809,2023-08-09,2023,1,2023-08-10,2023-08-17,IMERG Final V07B,fuxi_6day,5,0.5472813033798929,5.056069449303423
paired_20230809,2023-08-09,2023,2,2023-08-17,2023-08-24,IMERG Final V07B,fuxi_6day,5,0.051086064832793085,5.831923351323636
paired_20230809,2023-08-09,2023,3,2023-08-24,2023-08-31,IMERG Final V07B,fuxi_6day,5,-0.408694260533897,8.544468844373506
paired_20230809,2023-08-09,2023,4,2023-08-31,2023-09-07,IMERG Final V07B,fuxi_6day,5,-0.39167230084025323,6.795753650402279
paired_20230809,2023-08-09,2023,1,2023-08-10,2023-08-17,IMERG Final V07B,fuxi_exact,5,0.5714559588356234,3.9109071850044916
paired_20230809,2023-08-09,2023,2,2023-08-17,2023-08-24,IMERG Final V07B,fuxi_exact,5,0.09891827086745218,6.16377944411616
paired_20230809,2023-08-09,2023,3,2023-08-24,2023-08-31,IMERG Final V07B,fuxi_exact,5,0.3639640947010076,5.087391082831706
paired_20230809,2023-08-09,2023,4,2023-08-31,2023-09-07,IMERG Final V07B,fuxi_exact,5,-0.0293887327056325,6.789220586275746
paired_20230816,2023-08-16,2023,1,2023-08-17,2023-08-24,IMERG Final V07B,erpas,0,0.2905280840963405,4.187856220883666
paired_20230816,2023-08-16,2023,2,2023-08-24,2023-08-31,IMERG Final V07B,erpas,0,0.1270800240013332,6.499574033200941
paired_20230816,2023-08-16,2023,3,2023-08-31,2023-09-07,IMERG Final V07B,erpas,0,0.40741303662113043,5.171670716823317
paired_20230816,2023-08-16,2023,4,2023-09-07,2023-09-14,IMERG Final V07B,erpas,0,0.01977687543695932,5.3533184154907865
paired_20230816,2023-08-16,2023,1,2023-08-17,2023-08-24,IMERG Final V07B,fuxi_2day,5,0.2706585151038928,4.352765713632346
paired_20230816,2023-08-16,2023,2,2023-08-24,2023-08-31,IMERG Final V07B,fuxi_2day,5,0.7272489523070758,4.0673322083376675
paired_20230816,2023-08-16,2023,3,2023-08-31,2023-09-07,IMERG Final V07B,fuxi_2day,5,0.39072327206566665,4.669821725665384
paired_20230816,2023-08-16,2023,4,2023-09-07,2023-09-14,IMERG Final V07B,fuxi_2day,5,0.25036750390572776,4.98857373687617
paired_20230816,2023-08-16,2023,1,2023-08-17,2023-08-24,IMERG Final V07B,fuxi_6day,5,0.03661756777346514,6.872399722522229
paired_20230816,2023-08-16,2023,2,2023-08-24,2023-08-31,IMERG Final V07B,fuxi_6day,5,0.24990737704271265,5.124112919789167
paired_20230816,2023-08-16,2023,3,2023-08-31,2023-09-07,IMERG Final V07B,fuxi_6day,5,-0.1832866989703022,7.543181695452036
paired_20230816,2023-08-16,2023,4,2023-09-07,2023-09-14,IMERG Final V07B,fuxi_6day,5,0.05402654079191367,5.132596984536265
paired_20230816,2023-08-16,2023,1,2023-08-17,2023-08-24,IMERG Final V07B,fuxi_exact,5,0.30381629128266613,4.297760722306366
paired_20230816,2023-08-16,2023,2,2023-08-24,2023-08-31,IMERG Final V07B,fuxi_exact,5,0.8054270881197305,2.6968296746384017
paired_20230816,2023-08-16,2023,3,2023-08-31,2023-09-07,IMERG Final V07B,fuxi_exact,5,0.09201121006323287,6.052585129061038
paired_20230816,2023-08-16,2023,4,2023-09-07,2023-09-14,IMERG Final V07B,fuxi_exact,5,-0.24154276314361822,6.618049581381356
paired_20230823,2023-08-23,2023,1,2023-08-24,2023-08-31,IMERG Final V07B,erpas,0,0.7156893126299847,3.459220721182517
paired_20230823,2023-08-23,2023,2,2023-08-31,2023-09-07,IMERG Final V07B,erpas,0,0.4803496641371122,4.408745365462971
paired_20230823,2023-08-23,2023,3,2023-09-07,2023-09-14,IMERG Final V07B,erpas,0,0.011777326948701936,5.752102366243514
paired_20230823,2023-08-23,2023,4,2023-09-14,2023-09-21,IMERG Final V07B,erpas,0,-0.1381582541302847,8.014007078503173
paired_20230823,2023-08-23,2023,1,2023-08-24,2023-08-31,IMERG Final V07B,fuxi_2day,5,0.786158493784575,3.250858057579304
paired_20230823,2023-08-23,2023,2,2023-08-31,2023-09-07,IMERG Final V07B,fuxi_2day,5,0.4062450889070101,4.873651924039245
paired_20230823,2023-08-23,2023,3,2023-09-07,2023-09-14,IMERG Final V07B,fuxi_2day,5,-0.11702764700862096,5.92139475052337
paired_20230823,2023-08-23,2023,4,2023-09-14,2023-09-21,IMERG Final V07B,fuxi_2day,5,0.0035095684728854073,7.789837760137558
paired_20230823,2023-08-23,2023,1,2023-08-24,2023-08-31,IMERG Final V07B,fuxi_6day,5,0.7392798426593742,2.9777230447558796
paired_20230823,2023-08-23,2023,2,2023-08-31,2023-09-07,IMERG Final V07B,fuxi_6day,5,0.14319291525698258,5.653881948240897
paired_20230823,2023-08-23,2023,3,2023-09-07,2023-09-14,IMERG Final V07B,fuxi_6day,5,0.06353639233861702,5.443013301203826
paired_20230823,2023-08-23,2023,4,2023-09-14,2023-09-21,IMERG Final V07B,fuxi_6day,5,0.030742803100820785,7.984519041519131
paired_20230823,2023-08-23,2023,1,2023-08-24,2023-08-31,IMERG Final V07B,fuxi_exact,5,0.7946159790426295,3.076845859323593
paired_20230823,2023-08-23,2023,2,2023-08-31,2023-09-07,IMERG Final V07B,fuxi_exact,5,0.3861389875900154,5.113633849934883
paired_20230823,2023-08-23,2023,3,2023-09-07,2023-09-14,IMERG Final V07B,fuxi_exact,5,0.11429918931602288,5.291590588891329
paired_20230823,2023-08-23,2023,4,2023-09-14,2023-09-21,IMERG Final V07B,fuxi_exact,5,-0.022399382377602403,7.88879351539527
paired_20230830,2023-08-30,2023,1,2023-08-31,2023-09-07,IMERG Final V07B,erpas,0,0.7391961949121043,3.6219197516889543
paired_20230830,2023-08-30,2023,2,2023-09-07,2023-09-14,IMERG Final V07B,erpas,0,-0.07899395521328385,7.724936260885043
paired_20230830,2023-08-30,2023,3,2023-09-14,2023-09-21,IMERG Final V07B,erpas,0,-0.016325840044251045,7.569096531227128
paired_20230830,2023-08-30,2023,4,2023-09-21,2023-09-28,IMERG Final V07B,erpas,0,-0.019429174391241612,5.405599758403754
paired_20230830,2023-08-30,2023,1,2023-08-31,2023-09-07,IMERG Final V07B,fuxi_2day,5,0.5134370707869579,4.735588474750065
paired_20230830,2023-08-30,2023,2,2023-09-07,2023-09-14,IMERG Final V07B,fuxi_2day,5,0.05224282479627573,5.709762098105697
paired_20230830,2023-08-30,2023,3,2023-09-14,2023-09-21,IMERG Final V07B,fuxi_2day,5,-0.30058555887362615,8.641252071755218
paired_20230830,2023-08-30,2023,4,2023-09-21,2023-09-28,IMERG Final V07B,fuxi_2day,5,-0.02868156558404257,5.833238844218202
