date,imerg_late_mm,imd_gauge_mm,imd_gauge_gpm_merged_mm
2026-06-02,2.8430742476261712,2.554500168117484,3.0933692530965793
2026-06-03,2.701877969418575,2.1388581928891592,2.5858754839038727
2026-06-04,4.543160478720528,2.577529628717055,1.8623113847161428
2026-06-05,2.653731787939873,4.181904896987707,4.161546491684686
2026-06-06,3.084823907264741,1.9870763908103684,2.1583653168234505
2026-06-07,3.6973544502095255,2.5638982449944367,2.6928099772032623
2026-06-08,3.196193005767053,3.5053255939660173,3.4231844599930903
2026-06-09,2.0046625514450276,2.2868222217964838,2.5366450909321228
2026-06-10,2.821975836254512,1.976725178793753,1.968357557548147
2026-06-11,3.937506148205249,3.070612053066577,3.2764875569710465
2026-06-12,3.5669816220104416,3.6851386432442657,3.728781367973624
2026-06-13,3.4196886747709043,4.209351993665935,4.090943096622261
2026-06-14,2.5555376930246654,3.3194009719653055,3.2568530206048343
2026-06-15,1.7507628857691586,2.2288844711591844,2.474528359514913
2026-06-16,2.6837749163414384,1.4314972833143433,1.6648552200378273
2026-06-17,3.359644644962051,2.379023879047592,2.324793800398061
2026-06-18,3.1962391229022415,2.3988511863844577,2.8156376233439517
2026-06-19,4.162326598360565,2.8520300666264955,3.2632854940048204
2026-06-20,3.5747929869163437,3.1364177094538004,3.495015520532504
2026-06-21,4.58074917480257,3.211611416774824,3.1821342076232146
2026-06-22,6.127853456527878,3.1016260749903233,3.500117913341363
2026-06-23,5.544730650655271,4.496203691380011,5.255419731545315
2026-06-24,4.112161078598405,4.557225123050768,4.894563868903865
2026-06-25,3.5513599297690175,4.040915759181107,4.129881883450135
2026-06-26,3.8835101054588677,2.660698826580125,3.1194698027773837
2026-06-27,6.364740328261472,3.0933873296645737,3.49189905123156
2026-06-28,7.363871433507424,4.631188886423765,5.281375296001568
2026-06-29,7.580766868650585,6.61892359602027,6.973286242333419
2026-06-30,8.560571264542629,6.784585534180514,7.739928516221444
2026-07-01,10.294926922218938,7.566552515080204,8.082817059694587
2026-07-02,11.010106699173122,9.60030050247329,8.759509489298187
2026-07-03,12.231142120667263,9.263468298634953,8.18708187882876
2026-07-04,10.023024359559038,10.029423686453907,9.503945930239933
2026-07-05,10.418968958357949,10.570047483743371,10.707952295989562
2026-07-06,9.766635110138866,12.77140647349671,11.913191171995273
2026-07-07,9.16342281666073,11.297929403289027,9.14323869277937
2026-07-08,8.48234414774134,10.654908407162987,10.391826405483492
2026-07-09,5.226885723340722,8.739287596397652,8.312746467405894
2026-07-10,4.4030951605573785,6.595662438724297,5.813106002542468
2026-07-11,2.1732545919897763,4.905400080851553,4.456683968793795
2026-07-12,2.92376757076801,2.4502784307575625,2.2449324213117112
2026-07-13,1.7572705664636665,3.0760606201271328,2.9987340810164045
2026-07-14,2.6511587860129664,2.1755510270299996,1.5903524072602022
2026-07-15,4.004547960487425,2.806456524106794,2.793537231577246
2026-07-16,5.807853844250289,4.553632968152622,4.4354569577631615
2026-07-17,6.500906886076942,6.532584442543348,6.48266248198478
2026-07-18,,7.014696497079926,6.375116333781262
