Lead Day,FuXi_ACC,FuXi_RMSE,Spire_ACC,Spire_RMSE,ECMWF_ACC,ECMWF_RMSE,NCEP_ACC,NCEP_RMSE
1,0.9594178659880217,19.09781006782974,0.9099009098374388,16.1080536352701,0.9636768967938931,22.664430522724583,0.9684397656697872,23.279628275363415
2,0.9629484438841532,19.056005607907785,0.9070599122965226,14.493297494810406,0.966885691313739,20.055111160049726,0.9703013507726528,24.760944128694682
3,0.9731025860041379,18.713238435159386,0.9112881435531084,15.392637916064873,0.9718640010214299,21.508735531647485,0.9677048640175795,24.32590523186637
4,0.9638184863551233,18.05713932037166,0.9109706884146748,18.071852141623847,0.9706626389621096,20.763074742191787,0.9708738832341166,20.53726912176199
5,0.9639095238850056,18.895607056972192,0.9065419044394379,17.9525748766318,0.9689177651437817,18.88044868000308,0.9707133164381783,21.951068006313065
6,0.9577181547189588,23.992413039044497,0.9071909554961706,19.090275834547082,0.9720092940316429,21.4369479243556,0.9646686801252182,26.65587950607698
7,0.9457089928649189,26.692406419921607,0.9042425528474572,19.157223244260724,0.9633188235226764,24.396562974187667,0.954208121776477,31.167650749189093
8,0.9177074426057898,29.32794001631492,0.8920988695478939,17.961022676388374,0.9522383020048829,22.19411964181771,0.9475573016868867,33.0873775568034
9,0.9014675957163524,36.94389033344536,0.8740218764635643,26.04841756627447,0.944904393162667,25.126362567850602,0.9281256229389852,37.780964848015714
10,0.9288976027678609,36.34923327151011,0.8798719424649186,27.092969872936962,0.9424427230529712,26.50606074605613,0.9302945405728084,39.19720641751675
11,0.9312845602008887,32.480458309554,0.8877581855817033,27.675245399503034,0.9528922584908579,25.77300324366151,0.9270075651738593,36.155417058825
12,0.9335824354301379,35.354307875691696,0.8783342835213793,29.100147528395517,0.9441004756005091,27.372455269708908,0.9093877244178401,37.8554737266225
13,0.9263521659958743,44.89118047682507,0.8660129102383624,31.6629028943305,0.9280721273684782,31.819412836594093,0.9167828775319843,39.39004101194101
14,0.9217816163946673,48.636441901574024,0.8668104752142635,30.408719487862495,0.922120217550397,32.03739083893218,0.926411792348421,40.75832184357567
