variable,model,valid_month,valid_month_name,region,lead_bucket,pcc,rmse,bias,msss_clim,std_ratio,n_init,crpss_clim,crps,ssr,spread,briss_clim
TP,ECMWF,6,Jun,All India,W1-2,0.6404180523452014,3.4886895930410224,0.1107119400924111,0.3292633095395822,1.0820623159706346,2,0.33318971467295383,1.8353869259666071,0.9264219180139618,3.258119648988343,0.23795166520602745
TP,ECMWF,6,Jun,All India,W3-4,0.38337073259657484,4.899869027360788,0.019019108992891047,-0.2340101377922214,1.0021797160297155,1,0.0099812233088153,2.731111773239515,1.092941774023713,5.377945809310853,0.060368842172159584
TP,ECMWF,6,Jun,northwest_india,W1-2,0.8062387784925281,1.7726357127537296,0.4048474453111077,0.4412605347916143,1.118799457732212,2,0.44516038444456313,1.0454705332752825,1.0115118828716256,2.2739269513958025,0.3977767790356589
TP,ECMWF,6,Jun,northwest_india,W3-4,0.667795557219366,2.7402401040312885,-0.11790525598291157,-0.3439093517524021,0.9916417877452216,1,0.15456566404625816,1.5698856449479368,1.086970210692163,2.9363218608771096,0.27791086303281126
TP,ECMWF,6,Jun,central_india,W1-2,0.6316868308325503,3.4987941938055407,-1.3654159820803917,0.24698921630179702,1.0879000341878797,2,0.34649017642058255,2.2156116742795664,0.9375619579179387,3.4787075354088746,0.22514398843253666
TP,ECMWF,6,Jun,central_india,W3-4,0.40440934859837446,4.6835154992219685,-2.4991941730034446,-0.15678028654329296,0.8803143230615087,1,0.086671412223489,3.0774018428872933,1.5937551736449618,6.673952163423406,0.12163638424267152
TP,ECMWF,6,Jun,south_peninsula,W1-2,0.7757278620959275,3.0177215047932338,0.20271673435436233,0.4202437141503944,0.9778874485944609,2,0.2491208038947294,1.6813317951968165,0.9020715050472434,2.6050643843603836,0.061486914464604595
TP,ECMWF,6,Jun,south_peninsula,W3-4,0.4039562160610979,5.264668139123105,0.5992313675285653,-0.4714835668772424,1.2414727984542788,1,-0.29566012890930754,3.0455157975778,0.7674410882034755,4.038372463446848,-0.1593166892426317
TP,ECMWF,6,Jun,east_northeast_india,W1-2,0.7376164175564757,5.463758681445671,2.726974271871955,-0.06509378004572025,1.4095089956937097,2,0.22352570193686705,2.8835019445128625,1.280551993247568,5.71630958703302,0.3260739185060368
TP,ECMWF,6,Jun,east_northeast_india,W3-4,0.614194285160093,7.297876803665078,5.35057808049001,-0.24579642841847388,1.1708408375775368,1,-0.06697214636817544,4.084813451384479,1.3378579616418742,9.416160660454704,0.11940658145995359
TP,ECMWF,7,Jul,All India,W1-2,0.815795095961831,4.579317713972559,0.10924863504351562,0.6488139976132999,0.9848762572239128,2,0.43140623404737677,2.281420981366304,0.990470162259158,4.605364619502801,0.47320774085562045
TP,ECMWF,7,Jul,All India,W3-4,0.5028336108757632,6.910677256673429,-1.4945045552646696,0.18582011074742388,0.6333976344574452,2,0.13802403802745966,3.434874609400189,0.8497040761185957,5.812529313874548,0.2143503611209167
TP,ECMWF,7,Jul,All India,W5-6,0.3090388520847588,7.718133402362249,-1.1430943561813405,-0.017426876175024773,0.6022701878975607,2,0.010056010739832252,3.93802265437314,0.8233979359136225,6.264655985827796,0.07195983052021976
TP,ECMWF,7,Jul,northwest_india,W1-2,0.7887434354674498,3.7478117208988624,-0.39690585723446004,0.4200438361725618,1.0234727211582044,2,0.28515238328385095,1.9367167844307909,1.1236773965968552,3.967582959166278,0.3174035488278073
TP,ECMWF,7,Jul,northwest_india,W3-4,0.46092006657466156,5.375625911093078,-0.9334863572826377,0.03411840801504003,0.6761389757655528,2,0.020416627046809473,2.604582372757086,0.8331844577887435,4.42995809191313,0.09161734017483006
TP,ECMWF,7,Jul,northwest_india,W5-6,0.37857321603217303,5.457689779615079,-0.7129729844357204,0.024086391019761892,0.5753657737955838,2,0.0003579639839838035,2.6645003020133204,0.9506453537960884,5.080525392007615,0.07262656956781194
TP,ECMWF,7,Jul,central_india,W1-2,0.7552622980674955,5.3313482968192005,1.3835600155199228,0.6245401812199474,1.235306067960812,2,0.4598454280711641,2.8071583492870062,1.129722048308829,6.047614956260597,0.6009310536539391
TP,ECMWF,7,Jul,central_india,W3-4,0.5445262977844976,7.040668513245182,-1.1537432716455578,0.36003494067641456,0.758606527410813,2,0.24902567955807475,3.8779278281863956,1.1149332620149146,7.528378907987667,0.31472559324670846
TP,ECMWF,7,Jul,central_india,W5-6,0.298251762820911,9.22539109181394,-0.3212494375339996,-0.14595069307895933,0.8762706221372617,2,-0.02368050037363175,5.1875550197384435,0.9052934902272263,8.203580406685042,0.0518784563580061
TP,ECMWF,7,Jul,south_peninsula,W1-2,0.8168519695142115,3.367736900778698,-0.5265483998219558,0.7083088359338607,0.8798125013617208,2,0.4877751702018811,1.646366707247348,0.8022011797724302,2.3246976596364846,0.5874384543794385
TP,ECMWF,7,Jul,south_peninsula,W3-4,0.6588152361767208,4.402708589510016,-1.413610873067522,0.49262018424400134,0.7954687933561,2,0.273154807068602,2.3521335846731706,1.7860385124428173,3.98053836971036,0.34567504764056023
TP,ECMWF,7,Jul,south_peninsula,W5-6,0.565737709615743,5.407084479368652,-1.5932636146323729,0.25645957483616866,0.825518603380261,2,0.08498537200323811,2.9744263397676156,1.089516879236219,4.140574333680976,0.08117946737640491
TP,ECMWF,7,Jul,east_northeast_india,W1-2,0.8062960234518188,4.403128574744837,-0.9060600425603973,0.64314281436397,0.9103912205025555,2,0.45556248087142925,2.6231681637867306,1.3010230014000372,5.540651805991947,0.5898708963176318
TP,ECMWF,7,Jul,east_northeast_india,W3-4,0.6484472534189636,9.075569600106832,-3.5991997769190798,0.014793755714378949,0.8342595995284973,2,-0.0002722954126228505,5.583257031001887,0.9191598005400081,7.190987558355845,0.14800138459178097
TP,ECMWF,7,Jul,east_northeast_india,W5-6,0.5983592430046585,7.9520318336119065,-3.4003918636741446,0.32886274139412597,0.8752171233917458,2,0.15428443743823783,5.0632838718245425,1.2050566544207513,7.063409380834782,0.3243471171261263
TP,ECMWF,8,Aug,All India,W1-2,0.6261114113228551,4.4355449723835045,-0.4919905026413572,0.33860003060871335,0.9038539998223557,3,0.2607205953822033,2.3988853820079363,1.070761360166411,4.4854563122122,0.3765964659381673
TP,ECMWF,8,Aug,All India,W3-4,0.3446830280562026,6.053273304995159,-1.5251552848061407,-0.05057286873970283,0.6975224139640468,3,0.03206467195098604,3.2487459683358133,0.9474792399092593,5.3132617519466745,0.09994832739803892
TP,ECMWF,8,Aug,All India,W5-6,0.4044765168953265,5.593921676502253,-1.7033156316293638,0.09975979675697957,0.5994006851697657,3,0.10230596424559937,2.9987333184171656,1.0079858900593874,5.161797091451957,0.18499141644344472
TP,ECMWF,8,Aug,northwest_india,W1-2,0.780105809916022,2.5761605641063166,-0.2441340218719317,0.452176342892532,1.0551271747188518,3,0.36123177736581974,1.482709933337942,1.5268602597817227,3.760541239498203,0.47896838358933275
TP,ECMWF,8,Aug,northwest_india,W3-4,0.422386526797756,3.66985086844808,-0.5722966892692287,0.17453906322543417,0.7740404847648843,3,0.09906473100896585,2.20797427967606,1.6517598148726116,4.681024933778363,0.13148440649863408
TP,ECMWF,8,Aug,northwest_india,W5-6,0.6058618745102493,3.2691529490401834,-0.8950201881565931,0.33941717151748024,0.7245750670116404,3,0.19089280661615382,2.044502967733078,1.6920266802802768,4.0463341743082495,0.24478355125563217
TP,ECMWF,8,Aug,central_india,W1-2,0.5988940354525427,5.529312987592582,-1.1846439874281214,0.06475233754252603,1.04146941333854,3,0.2101576162040365,3.2860581785208356,1.1541164376585418,5.871770945256439,0.37636235443004645
TP,ECMWF,8,Aug,central_india,W3-4,0.33036361492178995,7.340451982689484,-4.150573246042836,-0.27864720140633314,0.6923109291581755,3,0.01860201871258652,4.288246916049064,0.9881463049024095,6.403255249837448,0.1033513780732819
TP,ECMWF,8,Aug,central_india,W5-6,0.3094104938121769,7.101643636919569,-3.470777277749275,-0.15515629665673267,0.6791341567844719,3,0.03739175777513718,4.2367430431984,1.153425262193006,6.743424137606873,0.19036780363576816
TP,ECMWF,8,Aug,south_peninsula,W1-2,0.6242452538506081,3.9060787786519966,-1.9469868525780576,0.14697331819976975,1.0111115333975176,3,0.16066354445036615,2.316800401553304,0.9796572791499427,2.982025322431037,0.2400309651373438
TP,ECMWF,8,Aug,south_peninsula,W3-4,0.46232524165616506,5.28814256487533,-3.220916133804964,-0.11019267288449,0.8556453805974126,3,-0.01478722089168664,3.01035070703188,0.7433657217082554,3.303860827580313,0.021596058449924863
TP,ECMWF,8,Aug,south_peninsula,W5-6,0.54307020138474,4.942798890062918,-3.2346210591496196,-0.18998784419327755,0.7585936267033676,3,-0.0037050902477213576,2.783645426984431,0.7213668299579926,3.3154653154346994,0.009335009424659013
TP,ECMWF,8,Aug,east_northeast_india,W1-2,0.7228266302275599,4.380931489737336,2.360073214021893,0.4891038651604091,0.7759833758446217,3,0.3549438268321483,2.474751690911027,1.1746724834471902,4.771686073084493,0.456113225994407
TP,ECMWF,8,Aug,east_northeast_india,W3-4,0.7307475864502451,5.971364267783349,4.503366785265284,0.03168411217419155,0.9359762677761994,3,0.10499534831269426,3.4431653825783344,1.20636157626761,6.703837721596787,0.28349837583264664
TP,ECMWF,8,Aug,east_northeast_india,W5-6,0.8198313788793709,4.427110496039072,2.4757389375423573,0.4874474313370348,0.8360302698955436,3,0.33370675657935234,2.521507615406344,1.4454271170892492,6.281420546476112,0.39929297263695024
TP,ECMWF,9,Sep,All India,W1-2,0.3970784661299219,6.3626945296269,-0.2138734869726864,0.2891231881846229,0.6874703203100438,1,0.1454946675941115,3.142936509469529,0.6678761499495003,4.207388501598942,0.2706903062183784
TP,ECMWF,9,Sep,All India,W3-4,0.30731169007310466,6.201498932041263,-2.96849527973349,0.014196889316150142,0.529303510825496,3,-0.0071892009711673425,3.425537248972655,0.7151253892544587,4.253044198943091,0.10224124238474012
