method,initialization,lead_week,region,acc,rmse,mae,bias,wet_fraction_error,negative_fraction,valid_area_weight,valid_cells
cma,2025-06-05,4,india,0.4218783906,5.718390202,4.236969631,-0.237571879,0.0217646484,0,3207490.246,171
cma,2025-06-05,4,northwest_india,0.361274721,4.823446705,3.835153984,-1.163208191,-0.07951740451,0,1124851.459,68
cma,2025-06-05,4,central_india,0.1963115806,6.085037406,4.23500391,-0.9037015285,0.0238592262,0,1088520.578,67
cma,2025-06-05,4,south_peninsula,0.07247243532,4.915730199,3.615628809,0.6746870828,0.2194244104,0,517384.5263,34
cma,2025-06-05,4,east_northeast_india,0.5552409389,7.371725235,5.863862822,2.477383117,0.04144266091,0,476733.6896,35
cma,2025-06-05,5,india,0.0500043757,8.826733313,5.895549416,-2.520267516,0.04682229032,0,3207490.246,171
cma,2025-06-05,5,northwest_india,-0.03514965755,5.654130456,3.857389462,-0.7669736201,-0.05124695623,0,1124851.459,68
cma,2025-06-05,5,central_india,-0.1049213308,12.45708757,8.768535153,-6.900146811,0,0,1088520.578,67
cma,2025-06-05,5,south_peninsula,-0.2191598371,5.56724968,3.766428915,1.139480887,0.3723400177,0,517384.5263,34
cma,2025-06-05,5,east_northeast_india,0.3657841675,7.797698946,6.455394721,-0.6284432457,0.03185067445,0,476733.6896,35
cma,2025-06-05,6,india,0.2805495327,7.182323741,5.280101191,-0.2866601006,0.0004479130591,0,3207490.246,171
cma,2025-06-05,6,northwest_india,-0.1928121169,8.131620917,6.348400093,-2.179901047,-0.1319691183,0,1124851.459,68
cma,2025-06-05,6,central_india,0.469072349,6.753315115,4.869854416,-0.04885875361,0.01355505656,0,1088520.578,67
cma,2025-06-05,6,south_peninsula,-0.03791197889,4.989221831,2.547446197,0.4034097693,0.2611739772,0,517384.5263,34
cma,2025-06-05,6,east_northeast_india,0.5227111321,7.739823537,6.661832515,2.888554334,0,0,476733.6896,35
cma,2025-06-09,1,india,0.6360035581,6.460941703,3.454083808,0.5065734691,-0.2883019618,0,3207490.246,171
cma,2025-06-09,1,northwest_india,0.01740108497,2.16708546,1.475094953,-1.110280964,-0.3928920901,0,1124851.459,68
cma,2025-06-09,1,central_india,-0.04133104825,5.559800316,3.620275649,-0.7642342899,-0.3617144025,0,1088520.578,67
