method_a,method_b,metric,effect,ci_low,ci_high,draws,block_length,initializations
piggycast_forecast_only,location_calendar_only,mae,-0.4656375424,-0.6072888045,-0.3470243644,2000,8,35
cma,equal_weight,mae,1.123086873,1.03116827,1.209297943,2000,2,35
cma,equal_weight,mae,1.123086873,1.023461575,1.226868341,2000,4,35
cma,equal_weight,mae,1.123086873,1.028912935,1.210884146,2000,8,35
dlesym_v0,equal_weight,mae,1.099418634,0.9560242983,1.258042602,2000,2,35
dlesym_v0,equal_weight,mae,1.099418634,0.9316323566,1.289648775,2000,4,35
dlesym_v0,equal_weight,mae,1.099418634,0.9328389465,1.263521733,2000,8,35
ecmwf,equal_weight,mae,0.1064469072,0.04463877754,0.1645861818,2000,2,35
ecmwf,equal_weight,mae,0.1064469072,0.03707193732,0.1789196464,2000,4,35
ecmwf,equal_weight,mae,0.1064469072,0.05417941908,0.1626700397,2000,8,35
fuxi_s2s,equal_weight,mae,0.2980885666,0.1771684908,0.4253388952,2000,2,35
fuxi_s2s,equal_weight,mae,0.2980885666,0.1637836217,0.4467459904,2000,4,35
fuxi_s2s,equal_weight,mae,0.2980885666,0.1568743854,0.4471024656,2000,8,35
ncep,equal_weight,mae,0.822453009,0.6650340857,0.9713767448,2000,2,35
ncep,equal_weight,mae,0.822453009,0.6113954211,1.017783735,2000,4,35
ncep,equal_weight,mae,0.822453009,0.5719375806,1.085266076,2000,8,35
neuralgcm,equal_weight,mae,0.378196205,0.2937549165,0.4716501487,2000,2,35
neuralgcm,equal_weight,mae,0.378196205,0.271926262,0.4776156846,2000,4,35
neuralgcm,equal_weight,mae,0.378196205,0.2611326281,0.4827143621,2000,8,35
ukmo,equal_weight,mae,0.8061301491,0.6329992734,0.9816268983,2000,2,35
ukmo,equal_weight,mae,0.8061301491,0.5947190357,1.027995305,2000,4,35
ukmo,equal_weight,mae,0.8061301491,0.5740092653,1.032369342,2000,8,35
piggycast_full,equal_weight,bias,0.1253745708,-0.01102336053,0.2681655008,2000,2,35
piggycast_full,equal_weight,bias,0.1253745708,-0.05754979545,0.3193006419,2000,4,35
piggycast_full,equal_weight,bias,0.1253745708,-0.08410874495,0.3841893048,2000,8,35
piggycast_full,validation_selected_model,bias,-0.4598287462,-0.589733506,-0.3425233903,2000,2,35
piggycast_full,validation_selected_model,bias,-0.4598287462,-0.628593938,-0.3013475106,2000,4,35
piggycast_full,validation_selected_model,bias,-0.4598287462,-0.6369846948,-0.2892464027,2000,8,35
piggycast_forecast_only,location_calendar_only,bias,0.1141861554,-0.03675234633,0.2561862209,2000,2,35
piggycast_forecast_only,location_calendar_only,bias,0.1141861554,-0.06750799239,0.2832521867,2000,4,35
piggycast_forecast_only,location_calendar_only,bias,0.1141861554,-0.07087748969,0.2671649849,2000,8,35
cma,equal_weight,bias,0.06398138341,-0.1500221745,0.2880889149,2000,2,35
cma,equal_weight,bias,0.06398138341,-0.2277362744,0.3692894999,2000,4,35
cma,equal_weight,bias,0.06398138341,-0.2835620323,0.4504163176,2000,8,35
dlesym_v0,equal_weight,bias,-0.5221775822,-0.7883139792,-0.2956313268,2000,2,35
dlesym_v0,equal_weight,bias,-0.5221775822,-0.8675642528,-0.2634716601,2000,4,35
dlesym_v0,equal_weight,bias,-0.5221775822,-0.8968720716,-0.2364377234,2000,8,35
ecmwf,equal_weight,bias,0.6806546457,0.4940208492,0.8676106106,2000,2,35
ecmwf,equal_weight,bias,0.6806546457,0.4220886282,0.9372911401,2000,4,35
ecmwf,equal_weight,bias,0.6806546457,0.3669542492,1.006807837,2000,8,35
fuxi_s2s,equal_weight,bias,0.06543408776,-0.0451464886,0.1690184145,2000,2,35
fuxi_s2s,equal_weight,bias,0.06543408776,-0.07862164408,0.1934929438,2000,4,35
fuxi_s2s,equal_weight,bias,0.06543408776,-0.1026545847,0.1957588084,2000,8,35
ncep,equal_weight,bias,-1.043254251,-1.242122421,-0.841700325,2000,2,35
ncep,equal_weight,bias,-1.043254251,-1.299632141,-0.7703038233,2000,4,35
ncep,equal_weight,bias,-1.043254251,-1.367554393,-0.7224162495,2000,8,35
neuralgcm,equal_weight,bias,-0.0008075777131,-0.1469101474,0.1459146208,2000,2,35
neuralgcm,equal_weight,bias,-0.0008075777131,-0.1587774293,0.1673089048,2000,4,35
neuralgcm,equal_weight,bias,-0.0008075777131,-0.160483999,0.1512217375,2000,8,35
ukmo,equal_weight,bias,0.7561693023,0.5127576366,0.9906289614,2000,2,35
ukmo,equal_weight,bias,0.7561693023,0.438538238,1.074094503,2000,4,35
ukmo,equal_weight,bias,0.7561693023,0.3640755212,1.154491761,2000,8,35
piggycast_full,equal_weight,wet_fraction_error,-0.0007758551693,-0.008740249534,0.005557964822,2000,2,35
piggycast_full,equal_weight,wet_fraction_error,-0.0007758551693,-0.008065347802,0.005277267334,2000,4,35
piggycast_full,equal_weight,wet_fraction_error,-0.0007758551693,-0.006226754134,0.004624799334,2000,8,35
piggycast_full,validation_selected_model,wet_fraction_error,0.01526301177,0.007362335445,0.02279910701,2000,2,35
piggycast_full,validation_selected_model,wet_fraction_error,0.01526301177,0.006520613064,0.024178751,2000,4,35
piggycast_full,validation_selected_model,wet_fraction_error,0.01526301177,0.007667222061,0.02454233175,2000,8,35
piggycast_forecast_only,location_calendar_only,wet_fraction_error,-0.02774272714,-0.04292209669,-0.0142712579,2000,2,35
piggycast_forecast_only,location_calendar_only,wet_fraction_error,-0.02774272714,-0.047709339,-0.009642802479,2000,4,35
piggycast_forecast_only,location_calendar_only,wet_fraction_error,-0.02774272714,-0.05299965338,-0.006360131216,2000,8,35
cma,equal_weight,wet_fraction_error,-0.06160543769,-0.06989217699,-0.05366963191,2000,2,35
cma,equal_weight,wet_fraction_error,-0.06160543769,-0.07106831311,-0.05284377508,2000,4,35
cma,equal_weight,wet_fraction_error,-0.06160543769,-0.07115279775,-0.05304711909,2000,8,35
dlesym_v0,equal_weight,wet_fraction_error,-0.1033283651,-0.1265799435,-0.08088149387,2000,2,35
dlesym_v0,equal_weight,wet_fraction_error,-0.1033283651,-0.1300344832,-0.07698812404,2000,4,35
dlesym_v0,equal_weight,wet_fraction_error,-0.1033283651,-0.1248262338,-0.0809592525,2000,8,35
ecmwf,equal_weight,wet_fraction_error,-0.006452030469,-0.0111935533,-0.001781297971,2000,2,35
ecmwf,equal_weight,wet_fraction_error,-0.006452030469,-0.01231479244,-0.001587092729,2000,4,35
ecmwf,equal_weight,wet_fraction_error,-0.006452030469,-0.01272530579,-0.001108008505,2000,8,35
fuxi_s2s,equal_weight,wet_fraction_error,-0.06652922714,-0.08624229338,-0.04898561002,2000,2,35
fuxi_s2s,equal_weight,wet_fraction_error,-0.06652922714,-0.09331935368,-0.04290077232,2000,4,35
fuxi_s2s,equal_weight,wet_fraction_error,-0.06652922714,-0.09843815025,-0.04079733914,2000,8,35
ncep,equal_weight,wet_fraction_error,-0.1260541749,-0.1364379741,-0.1156446374,2000,2,35
ncep,equal_weight,wet_fraction_error,-0.1260541749,-0.1380812424,-0.1144324893,2000,4,35
ncep,equal_weight,wet_fraction_error,-0.1260541749,-0.1361761244,-0.1153004722,2000,8,35
neuralgcm,equal_weight,wet_fraction_error,-0.01450421228,-0.02192782757,-0.006907582303,2000,2,35
neuralgcm,equal_weight,wet_fraction_error,-0.01450421228,-0.0225560763,-0.007814228385,2000,4,35
neuralgcm,equal_weight,wet_fraction_error,-0.01450421228,-0.02194444584,-0.008314602297,2000,8,35
ukmo,equal_weight,wet_fraction_error,-0.06918227398,-0.07977914833,-0.05945467268,2000,2,35
ukmo,equal_weight,wet_fraction_error,-0.06918227398,-0.08216634615,-0.05753443257,2000,4,35
ukmo,equal_weight,wet_fraction_error,-0.06918227398,-0.08151402098,-0.0580454543,2000,8,35
