method,region,aggregation,cases,acc,rmse,mae,bias,wet_fraction_error,negative_fraction,lead_week
validation_selected_model,northwest_india,all,210,0.1838708331,4.484779473,3.28584417,-0.4344808068,0.125451681,0,
validation_selected_model,south_peninsula,all,210,0.276752106,4.694839927,3.549904403,0.07432128478,0.0854911115,0,
validation_weighted,central_india,all,210,0.275236379,5.482975509,4.086891058,-0.6306131314,0.07968624909,0,
validation_weighted,east_northeast_india,all,210,0.366800311,4.980384614,4.109662494,1.3292502,0.09264832951,0,
validation_weighted,india,all,210,0.3130045803,5.150233217,3.700215028,-0.3973383805,0.1135087487,0,
validation_weighted,northwest_india,all,210,0.1471081857,4.468641378,3.260705752,-0.8629907238,0.1512677035,0,
validation_weighted,south_peninsula,all,210,0.2495260448,4.643738882,3.464955649,-0.4851045541,0.1217968513,0,
cma,central_india,by_lead,35,0.3441731317,7.61023371,5.491198232,-0.07117271048,-0.02869282522,0,1
cma,central_india,by_lead,35,0.1420806348,8.527030416,6.207426196,0.235590439,0.02446717559,0,2
cma,central_india,by_lead,35,0.05831816634,8.005636289,5.904112137,0.4718855423,0.09325078812,0,3
cma,central_india,by_lead,35,0.1049573406,7.368057927,5.600537436,0.341647987,0.1120429536,0,4
cma,central_india,by_lead,35,0.08957522187,7.092190717,5.323817963,-0.2981658776,0.06836381867,0.0003944500594,5
cma,central_india,by_lead,35,0.07418872056,6.944679214,5.289742422,0.2419389684,0.07237888881,0.000789727204,6
cma,east_northeast_india,by_lead,35,0.3991717205,5.571721647,4.276172821,-0.5455158439,-0.0122428355,0,1
cma,east_northeast_india,by_lead,35,0.2934613827,6.401209906,5.044906208,-2.108932121,-0.02963979146,0,2
cma,east_northeast_india,by_lead,35,0.254377714,6.304769116,5.127703137,-2.470342634,0.01577068635,0,3
cma,east_northeast_india,by_lead,35,0.241844943,5.732021462,4.568268201,-1.204753529,0.09035194911,0,4
cma,east_northeast_india,by_lead,35,0.1830896659,6.055353096,4.953017584,-0.4248827939,0.1081015881,0,5
cma,east_northeast_india,by_lead,35,0.1204118744,5.626201486,4.523444001,-0.8729483025,0.05116713778,0,6
cma,india,by_lead,35,0.4078465112,6.876793741,4.557734597,-0.521856715,-0.03792901141,0,1
cma,india,by_lead,35,0.2189779918,7.479716177,5.166002828,-0.5245001759,0.007584234078,0.0003853167494,2
cma,india,by_lead,35,0.1590702135,7.052899122,5.052876361,-0.4719267454,0.07490510771,0,3
cma,india,by_lead,35,0.1651489466,6.654247159,4.872235454,-0.1243406161,0.1046544088,0,4
cma,india,by_lead,35,0.1227232854,6.566741406,4.736606835,-0.3301069342,0.07981273443,0.000638644733,5
cma,india,by_lead,35,0.108665843,6.479770802,4.645960114,-0.2118853326,0.08240619813,0.002399966817,6
cma,northwest_india,by_lead,35,0.2365484171,5.245659454,3.693558394,-1.609975837,-0.08828516802,0,1
cma,northwest_india,by_lead,35,0.08590163603,5.782657654,4.162462151,-1.766652544,-0.03442845447,0.001098722596,2
cma,northwest_india,by_lead,35,0.08115808797,5.844785423,4.267395307,-1.502631972,0.0600158,0,3
cma,northwest_india,by_lead,35,0.03403371414,5.603827224,4.130795076,-0.91556587,0.09423276497,0,4
cma,northwest_india,by_lead,35,0.00111908483,5.363605103,3.875563744,-0.9978164131,0.06490860131,0.001439372035,5
cma,northwest_india,by_lead,35,0.02649367549,5.300860882,3.81602687,-0.9304189858,0.09496029166,0.006079234555,6
cma,south_peninsula,by_lead,35,0.3130160427,7.130650704,4.732083578,0.9174454396,0.02845092565,0,1
cma,south_peninsula,by_lead,35,0.1314554404,7.480889789,5.268352753,2.036872727,0.09770395984,0,2
cma,south_peninsula,by_lead,35,0.1486201141,6.612360145,4.900744645,1.624663495,0.1231670453,0,3
cma,south_peninsula,by_lead,35,0.1251878399,6.644405493,5.232025936,1.611006845,0.1249462459,0,4
cma,south_peninsula,by_lead,35,0.1330716122,6.738881437,5.173774693,1.141696504,0.1102370436,0,5
cma,south_peninsula,by_lead,35,0.1574199043,6.855875352,5.208769534,1.004613209,0.1049931795,0,6
