provider,product_hint,season_hint,year,init_date,mmdd,forecast_type,variable,level,file_path,extension,size_bytes,nonempty
ecmwf,forecast,jjas,2025,2025-06-08,0608,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250608_pf.nc,.nc,6040029,True
ecmwf,forecast,jjas,2025,2025-07-02,0702,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250702_cf.nc,.nc,87989,True
ecmwf,forecast,jjas,2025,2025-07-05,0705,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250705_cf.nc,.nc,88490,True
ecmwf,forecast,jjas,2025,2025-07-11,0711,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250711_cf.nc,.nc,88206,True
ecmwf,forecast,jjas,2025,2025-06-29,0629,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250629_cf.nc,.nc,88634,True
ecmwf,forecast,jjas,2025,2025-08-11,0811,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250811_cf.nc,.nc,87614,True
ecmwf,forecast,jjas,2025,2025-06-08,0608,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250608_cf.nc,.nc,88556,True
ecmwf,forecast,jjas,2025,2025-07-02,0702,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250702_pf.nc,.nc,6009992,True
ecmwf,forecast,jjas,2025,2025-08-25,0825,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250825_pf.nc,.nc,5946917,True
ecmwf,forecast,jjas,2025,2025-07-08,0708,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250708_pf.nc,.nc,6002935,True
ecmwf,forecast,jjas,2025,2025-06-10,0610,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250610_cf.nc,.nc,89351,True
ecmwf,forecast,jjas,2025,2025-07-11,0711,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250711_pf.nc,.nc,6010050,True
ecmwf,forecast,jjas,2025,2025-06-02,0602,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250602_cf.nc,.nc,88578,True
ecmwf,forecast,jjas,2025,2025-07-05,0705,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250705_pf.nc,.nc,6005591,True
ecmwf,forecast,jjas,2025,2025-08-28,0828,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250828_pf.nc,.nc,5944429,True
ecmwf,forecast,jjas,2025,2025-07-14,0714,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250714_pf.nc,.nc,6009458,True
ecmwf,forecast,jjas,2025,2025-09-18,0918,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250918_pf.nc,.nc,5950427,True
ecmwf,forecast,jjas,2025,2025-08-04,0804,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250804_pf.nc,.nc,5971689,True
ecmwf,forecast,jjas,2025,2025-07-03,0703,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250703_cf.nc,.nc,87861,True
ecmwf,forecast,jjas,2025,2025-06-12,0612,cf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250612_cf.nc,.nc,88206,True
ecmwf,forecast,jjas,2025,2025-07-01,0701,pf,msl,,/storage/raj.ayush/All_Model_Data/ecmwf/jjas2025/msl/20250701_pf.nc,.nc,6037478,True
