fuxi_init,ecmwf_init,valid_start,valid_end,variable,region,week,bias_ECMWF,bias_FuXi,fcst_mean_ECMWF,fcst_mean_FuXi,obs_mean_ECMWF,obs_mean_FuXi,pcc_ECMWF,pcc_FuXi,rmse_ECMWF,rmse_FuXi,pcc_gain_fuxi_minus_ecmwf,rmse_reduction_fuxi_vs_ecmwf,abs_bias_reduction_fuxi_vs_ecmwf,lead_week
2019-06-20,2019-06-18,2019-06-21,2019-06-27,TP,All India,Week 1,1.0756665886004335,-1.3853619898519218,7.6557988047442285,5.1947702262918725,6.5801322161437925,6.5801322161437925,0.8677437422275612,0.9215370757118081,2.921695421337635,2.5021942919833213,0.053793333484246864,0.41950112935431383,-0.3096954012514883,1
2019-06-23,2019-06-22,2019-06-24,2019-06-30,TP,All India,Week 1,0.27803992508146497,-0.9033452509030528,6.895269829182413,5.713884653197896,6.617229904100949,6.617229904100949,0.8370522107459931,0.9492768955437394,5.505619698612305,2.221888061135164,0.11222468479774628,3.2837316374771413,-0.6253053258215879,1
2019-06-27,2019-06-25,2019-06-28,2019-07-04,TP,All India,Week 1,-0.4269524810591308,-0.927769167939894,8.094424208982218,7.593607522101457,8.52137669004135,8.52137669004135,0.8120542765700145,0.9220755485171911,4.65890149940036,2.9766672688110587,0.11002127194717659,1.6822342305893017,-0.5008166868807631,1
2019-06-30,2019-06-29,2019-07-01,2019-07-07,TP,All India,Week 1,-0.3358463991007749,-1.6356537432075222,10.422951600158072,9.123144256051326,10.758797999258851,10.758797999258851,0.8218351867552581,0.9279769858141347,5.128575137739774,3.7426952936542617,0.10614179905887655,1.3858798440855122,-1.2998073441067473,1
2019-07-04,2019-07-02,2019-07-05,2019-07-11,TP,All India,Week 1,-1.7083300186357362,-3.8380657306333843,10.677751608167823,8.548015896170174,12.386081626803556,12.386081626803556,0.7889168347654993,0.8982974552297822,7.260724604234126,6.3256124051161375,0.10938062046428287,0.935112199117988,-2.129735711997648,1
2019-07-07,2019-07-06,2019-07-08,2019-07-14,TP,All India,Week 1,0.6985804860207525,-1.9143487819570686,10.647441544846883,8.034512276869064,9.948861058826134,9.948861058826134,0.9441381660692357,0.9496357707951047,4.456694417132181,4.529704076280737,0.005497604725869021,-0.07300965914855606,-1.215768295936316,1
2019-07-11,2019-07-09,2019-07-12,2019-07-18,TP,All India,Week 1,1.6578185065929476,-0.968464872340608,7.451750263499954,4.8254668845663975,5.793931756907005,5.793931756907005,0.9304065069122611,0.9507137844761979,7.260631233633248,2.4901241013836555,0.0203072775639368,4.770507132249593,0.6893536342523396,1
2019-07-14,2019-07-13,2019-07-15,2019-07-21,TP,All India,Week 1,-0.23218593329427162,-0.6421793686164904,6.070974226250817,5.6609807909285985,6.303160159545089,6.303160159545089,0.7695240725196202,0.9465117010574405,5.385513879730995,1.8680697786049847,0.17698762853782035,3.5174441011260105,-0.40999343532221877,1
2019-07-18,2019-07-16,2019-07-19,2019-07-25,TP,All India,Week 1,-0.9733784340569379,-1.0979585994480612,8.343423839065654,8.21884367367453,9.316802273122589,9.316802273122589,0.853114602957797,0.9084680337809709,3.5095701523436804,2.835679708021107,0.0553534308231739,0.6738904443225735,-0.12458016539112327,1
2019-07-21,2019-07-20,2019-07-22,2019-07-28,TP,All India,Week 1,-1.2240928099317987,-1.3724078431904303,11.129231956424892,10.980916923166259,12.353324766356684,12.353324766356684,0.7265811549882917,0.6545346228750996,4.93658553615369,5.418912830560503,-0.07204653211319212,-0.48232729440681243,-0.1483150332586316,1
2019-07-25,2019-07-23,2019-07-26,2019-08-01,TP,All India,Week 1,-0.3145036343466878,-1.737103650355366,12.45651445241427,11.03391443640559,12.771018086760957,12.771018086760957,0.6285438100772649,0.8178505396490935,6.585726241823615,5.083619162130167,0.1893067295718286,1.502107079693448,-1.4226000160086782,1
2019-07-28,2019-07-27,2019-07-29,2019-08-04,TP,All India,Week 1,0.03001108740083313,-1.5093622129508188,11.937734542772583,10.398361242420933,11.90772345537175,11.90772345537175,0.6428522583447976,0.7977420528517103,7.310150655084427,5.944376586124897,0.15488979450691265,1.3657740689595297,-1.4793511255499858,1
2019-06-20,2019-06-18,2019-06-28,2019-07-04,TP,All India,Week 2,-1.657175302354444,0.6379601947997113,6.864201387686905,9.15933688484106,8.52137669004135,8.52137669004135,0.5533611447687018,0.8397123933563551,6.930683053713411,4.110853753058542,0.28635124858765326,2.8198293006548685,1.0192151075547327,2
2019-06-23,2019-06-22,2019-07-01,2019-07-07,TP,All India,Week 2,-0.49903394085075703,-0.3070636184557896,10.259764058408095,10.45173438080306,10.758797999258851,10.758797999258851,0.7560507443266888,0.766528970132382,5.588897886868763,5.472152858425507,0.010478225805693131,0.11674502844325563,0.19197032239496742,2
2019-06-27,2019-06-25,2019-07-05,2019-07-11,TP,All India,Week 2,-2.3888553466735405,-2.540111674026823,9.997226280130018,9.845969952776732,12.386081626803556,12.386081626803556,0.7903901870480858,0.8601658578137263,7.707214327691856,6.845416086904888,0.06977567076564051,0.8617982407869684,-0.15125632735328232,2
