variable,region,week,lead_week,model,n,pcc_mean,pcc_std,rmse_mean,rmse_std,bias_mean,bias_std,obs_mean,fcst_mean
TP,All India,Week 1,1,ECMWF,12,0.8018969019111329,0.09893909758704697,5.41003237310217,1.459521088865716,-0.1229310930607422,0.958334826285568,9.438203332769893,9.31527223970915
TP,All India,Week 1,1,FuXi,12,0.8870517055251894,0.08887284834932002,3.8282952969838333,1.5667693124244462,-1.4943351009495516,0.8315073209614255,9.438203332769893,7.943868231820342
TP,All India,Week 2,2,ECMWF,12,0.7297170207475272,0.11618307867942092,6.558423247676384,1.2710229877238868,-0.8674782225273804,2.0014934338361607,10.57829377685651,9.710815554329132
TP,All India,Week 2,2,FuXi,12,0.7372231215917853,0.1522740156829706,5.974545457867431,1.7466166438392796,-1.9252150723248864,1.4859793651435433,10.57829377685651,8.653078704531625
TP,All India,Week 3,3,ECMWF,12,0.630897754158772,0.17248534551750513,7.093065845078151,2.3477017121871313,-1.503630109668771,2.3646870259377173,10.82560662359655,9.32197651392778
TP,All India,Week 3,3,FuXi,12,0.7012395336388221,0.1556586223426471,6.5691384621410895,1.6072726024865729,-2.204666981108013,2.144200665691923,10.82560662359655,8.620939642488537
TP,All India,Week 4,4,ECMWF,12,0.5685431293897089,0.12200050713314266,6.285475802031939,2.0064272164136043,-1.4118873999393695,2.57956533190094,10.219651462479227,8.807764062539858
TP,All India,Week 4,4,FuXi,12,0.5566222520912293,0.2131125761766218,6.417114183705141,2.055087923874087,-1.7528321016852575,2.2239686733143675,10.219651462479227,8.46681936079397
TP,All India,Week 5,5,ECMWF,12,0.5201113218965315,0.15141587893921932,5.996361726844288,2.1430628207534346,-1.7560883621245675,1.6295253827466278,10.40979125668176,8.653702894557194
TP,All India,Week 5,5,FuXi,12,0.5573954641013925,0.16865216044985945,6.0863407943345615,2.299817916291731,-2.467400738388666,2.0085338996582585,10.40979125668176,7.942390518293095
TP,All India,Week 6,6,ECMWF,12,0.5272977997470558,0.1084810837026663,6.0949076087658005,2.17579178363743,-2.002567690149927,1.6781017505357891,10.243388169996468,8.240820479846542
TP,All India,Week 6,6,FuXi,12,0.5098544895050893,0.1459919998315121,6.54009134855653,2.2376304730620356,-3.044589514470907,1.9248969381180876,10.243388169996468,7.198798655525561
TP,central_india,Week 1,1,ECMWF,12,0.6778979661222585,0.19635823028636754,5.088588890021279,2.5145971159446194,-0.6305978139936899,1.6972731755475399,11.107522959336002,10.476925145342312
TP,central_india,Week 1,1,FuXi,12,0.8099925538697628,0.15455351837029196,4.108691289677297,2.448814529341976,-1.78316807682282,1.639196583097097,11.107522959336002,9.324354882513182
TP,central_india,Week 2,2,ECMWF,12,0.5562418711470526,0.17223537098352465,6.577093148903117,2.732140037287281,-1.9473994091783438,3.1663100901650316,13.2470839571654,11.299684547987054
TP,central_india,Week 2,2,FuXi,12,0.5564703598127214,0.28479435194715985,6.489570969176499,3.913749865729245,-2.681367104764147,3.41716488587922,13.2470839571654,10.565716852401252
TP,central_india,Week 3,3,ECMWF,12,0.42984678495013523,0.29499878749784714,7.46099238740138,3.39786550634853,-2.017008731597448,4.89280508839999,12.786320065150214,10.769311333552764
TP,central_india,Week 3,3,FuXi,12,0.5662485894752285,0.1932036932483073,6.728926590509396,3.057706344256444,-2.4081631308694376,4.363481406716507,12.786320065150214,10.378156934280776
TP,central_india,Week 4,4,ECMWF,12,0.3968284829303455,0.18945076821657988,7.7545478417691704,3.696896653440779,-2.560731653707678,5.460972107274426,12.605250133065395,10.044518479357718
TP,central_india,Week 4,4,FuXi,12,0.5053211718737008,0.32036583961033344,7.744959968989377,4.156614217245393,-2.464690258481562,5.971225265446466,12.605250133065395,10.140559874583834
TP,central_india,Week 5,5,ECMWF,12,0.3835590324892799,0.21173817756163468,7.6120898673682875,3.8963320805643917,-3.552184101134994,4.51593878278226,13.622646328318664,10.070462227183668
TP,central_india,Week 5,5,FuXi,12,0.4559361390263765,0.25479453377034944,7.700111057956318,4.275119092230928,-4.128630147087589,4.760051344158856,13.622646328318664,9.494016181231073
TP,central_india,Week 6,6,ECMWF,12,0.37249822303629404,0.30173619170206967,8.039737180461678,4.076549427351358,-4.818430020930895,4.0637550496758275,14.489541127303374,9.67111110637248
TP,central_india,Week 6,6,FuXi,12,0.37424261017415555,0.24582816916999248,8.716766752878861,4.10715265046093,-5.696248326040666,4.3367690164426005,14.489541127303374,8.793292801262707
TP,east_northeast_india,Week 1,1,ECMWF,12,0.8736390355264798,0.11772245562641334,8.220011931515524,4.670251566895758,2.552520665307727,6.341794165190521,16.224962432654138,18.777483097961866
TP,east_northeast_india,Week 1,1,FuXi,12,0.8786267162992365,0.06737791106635269,3.885742334778518,1.7223293900155372,-1.7182063245983512,1.4016920070912617,16.224962432654138,14.506756108055788
TP,east_northeast_india,Week 2,2,ECMWF,12,0.695524985642757,0.32136957278317013,8.23229741914109,5.498391188195208,1.4311662885105514,7.708312623678504,15.804079741375437,17.23524602988599
TP,east_northeast_india,Week 2,2,FuXi,12,0.6367277454462102,0.37272038531724466,5.937706821797956,4.096383823138849,-2.4622886909458184,4.79429825169537,15.804079741375437,13.341791050429618
TP,east_northeast_india,Week 3,3,ECMWF,12,0.4317854754052554,0.46570306408670126,8.126487707969277,6.2923931062248615,-1.100468779289223,8.044690174364359,15.96053503433121,14.860066255041987
TP,east_northeast_india,Week 3,3,FuXi,12,0.4566586279798197,0.35989983461928043,7.647754060528263,5.429128998643432,-3.1642410691366876,6.238123301316794,15.96053503433121,12.796293965194524
TP,east_northeast_india,Week 4,4,ECMWF,12,0.31146825416917373,0.5296435647690682,4.816472163766938,1.9312214188811743,0.5536980618555485,3.018563008573966,12.45850724064691,13.012205302502457
TP,east_northeast_india,Week 4,4,FuXi,12,0.27105842839507466,0.4664762503380073,6.232339426703771,2.5053642526760274,-0.07172886771224,5.095301157895923,12.45850724064691,12.38677837293467
TP,east_northeast_india,Week 5,5,ECMWF,12,0.18350530935564024,0.4510695845188363,4.5423328068198385,1.2797993221474564,1.0272153074024672,2.857310319512889,11.41944572919657,12.446661036599039
TP,east_northeast_india,Week 5,5,FuXi,12,0.2369057995414101,0.4642700593117724,4.626938561991504,1.5036358208049736,0.47675506773522197,3.015306391456693,11.41944572919657,11.896200796931794
TP,east_northeast_india,Week 6,6,ECMWF,12,0.2027632495510745,0.47992971481532404,4.234418289309446,1.2050762753534507,2.239537434548138,1.8232268868721502,9.954958275095983,12.194495709644121
TP,east_northeast_india,Week 6,6,FuXi,12,0.25104390720416986,0.5031699429803541,4.066125655439501,1.7858673962969995,0.7628125377917776,2.405829738035626,9.954958275095983,10.717770812887759
TP,northwest_india,Week 1,1,ECMWF,12,0.8302463424165571,0.114908264027691,3.543921992838212,1.3034201182045324,-0.45571509723614173,1.8819723652282925,6.006302434001576,5.550587336765434
TP,northwest_india,Week 1,1,FuXi,12,0.8474665977105013,0.13976907840629357,3.4117583772601847,2.15476185882902,-1.363670336828889,1.5101765867784303,6.006302434001576,4.642632097172687
TP,northwest_india,Week 2,2,ECMWF,12,0.7892769619952396,0.08112612921994493,4.409898066935872,1.9908239811823647,-0.1465462467366506,2.4063045545646644,6.863670461058676,6.717124214322024
TP,northwest_india,Week 2,2,FuXi,12,0.7734514017892636,0.16303346049663434,3.9477649819189793,1.7106161554996122,-0.8773380807216028,1.8156978677438067,6.863670461058676,5.986332380337072
