valid_start,valid_end,valid_mid,ERA5_tp,SPIRE_tp,FuXi_tp,ECMWF_tp,ERA5_index,SPIRE_index,FuXi_index,ECMWF_index,clim_tp
2026-01-02,2026-01-08,2026-01-05,0.07763775649245061,0.28253108025828244,0.19024412288722223,0.21942867022680257,-1.8225511803433692,-1.5150481276391696,-1.6535520114885844,-1.6097519635721,1.2920275512926662
2026-01-09,2026-01-15,2026-01-12,0.28511767891469986,0.26705003609218486,0.26820455747109906,0.3279352106334957,-1.5955908616934762,-1.6359124093447197,-1.6333358646758014,-1.5000350018357307,1.0000844264536615
2026-01-16,2026-01-22,2026-01-19,0.3183170491094428,0.41623140973069783,0.4044412088912892,0.30972811554697954,-1.7443904332577522,-1.4615254669380064,-1.495586198603739,-1.7692030183316245,0.9221418216448877
2026-01-23,2026-01-29,2026-01-26,1.3844768846574207,1.1830230624236064,1.211721465496016,1.1653808585082766,1.0589694097959592,0.6473636920315587,0.7059995951101378,0.6113175553785288,0.8661812779035014
2026-01-30,2026-02-05,2026-02-02,0.2867085864227888,0.9012647884674057,0.7191161296985816,0.6697452127529602,-1.3675935877774705,-0.07897008514021764,-0.46090593068607194,-0.564428641401895,0.938926336234918
2026-02-06,2026-02-12,2026-02-09,0.12963831554722388,0.6554153437829945,0.5440229488285618,0.5449984325943379,-1.9643545215700131,-0.6983964918126334,-0.9666054269189303,-0.9642566717625365,0.9454730102807597
2026-02-13,2026-02-19,2026-02-16,0.12717826740036545,0.5051832158353035,0.3560548454994184,0.4413403621149962,-1.7773032261172743,-0.9801200837297729,-1.2946202599197942,-1.1147597146617474,0.9699324334375857
2026-02-20,2026-02-26,2026-02-23,0.292949555675736,0.6325127786612033,0.38554168479021644,0.5053762445915985,-1.9374964527905092,-0.7767929306125207,-1.6209957156251769,-1.2113742188764967,0.8597631540336886
2026-02-27,2026-03-05,2026-03-02,0.220115761466306,0.7000938664819909,0.25133075076682,0.5239157086706535,-1.943259758688732,-0.770381590796755,-1.8669825721275697,-1.2008918844894065,1.0153578949310658
2026-03-06,2026-03-12,2026-03-09,0.7933578121626564,0.8346784102053432,0.4478882873635773,0.5793445149386444,-0.3649260695975056,-0.2299112568128523,-1.493745724273489,-1.064213268400292,0.9050415831958897
2026-03-13,2026-03-19,2026-03-16,2.621739805601276,1.2879840227342034,1.0159371194063587,1.013262734139979,3.0985283998319697,0.3814515717245876,-0.17275208885974647,-0.17820024535890114,1.100737481006567
2026-03-20,2026-03-26,2026-03-23,1.6319549503623485,1.3806597017700666,1.2214844671033858,1.0668686592903087,0.7065817380601483,0.3032186668002957,0.04772075395343889,-0.20045865832821994,1.1917544308601444
2026-03-27,2026-04-02,2026-03-30,1.530266928314192,1.4531029261636306,1.3378338626922879,1.0142027560306448,0.2550084689938009,0.12827530253746247,-0.061041127417481945,-0.5925687020366874,1.3749999638717927
2026-04-03,2026-04-09,2026-04-06,2.284314261795953,1.7032020426764043,1.5206374623050216,1.1265906486014106,1.2737970199315654,0.3627468480258537,0.07652761728373596,-0.5412470664210625,1.4718244167944108
2026-04-10,2026-04-16,2026-04-13,0.644546085106298,1.5958944290830195,0.8338222279151328,1.2131200737739984,-1.5196149489614021,-0.06864471437341144,-1.2309362004545723,-0.6524415955404081,1.6409022685170542
2026-04-17,2026-04-23,2026-04-20,1.2578052901047987,1.5227537425372457,0.9250796698103422,1.005748785104169,-0.7950304159642586,-0.31023739589905747,-1.4038396270946532,-1.2562342205703276,1.6923042816911977
2026-04-24,2026-04-30,2026-04-27,2.192916578965055,1.6135158749591472,1.1495094694480845,1.1121563655237843,0.08920333079312963,-0.5393596328446758,-1.0427370698731007,-1.083259591750274,2.1106901742114443
2026-05-01,2026-05-07,2026-05-04,2.272144556295025,1.9845835999778034,1.2963501032857263,1.3518636273327493,-0.4658902077351734,-0.8367864591912146,-1.724470334355347,-1.6528689659434193,2.6333556312228987
