model,event,hits,misses,false_alarms,pod,far,accuracy
SPIRE,wet,4,11,1,0.26666666666666666,0.2,0.8461538461538461
SPIRE,dry,16,23,1,0.41025641025641024,0.058823529411764705,0.6923076923076923
FuXi,wet,3,12,1,0.2,0.25,0.8333333333333334
FuXi,dry,30,9,16,0.7692307692307693,0.34782608695652173,0.6794871794871795
ECMWF,wet,2,13,0,0.13333333333333333,0.0,0.8333333333333334
ECMWF,dry,22,17,14,0.5641025641025641,0.3888888888888889,0.6025641025641025
