time,tp_mm_day
1990-01-01 06:00:00,0.8398898347710639
1990-01-02 06:00:00,1.0397114316236493
1990-01-03 06:00:00,1.4645399623543416
1990-01-04 06:00:00,1.937341039476982
1990-01-05 06:00:00,1.9486021669475164
1990-01-06 06:00:00,2.4310350103414473
1990-01-07 06:00:00,1.2961290861988548
1990-01-08 06:00:00,1.0874331544653197
1990-01-09 06:00:00,1.048665566577316
1990-01-10 06:00:00,0.6551309873848533
1990-01-11 06:00:00,0.4680067499874895
1990-01-12 06:00:00,0.2871362871326535
1990-01-13 06:00:00,0.4424432203768649
1990-01-14 06:00:00,0.40167794744709995
1990-01-15 06:00:00,0.41179711316252354
1990-01-16 06:00:00,0.5049580363535684
1990-01-17 06:00:00,0.5747433174758514
1990-01-18 06:00:00,0.6967625544291559
1990-01-19 06:00:00,0.4912406459385884
1990-01-20 06:00:00,0.25886351282003434
1990-01-21 06:00:00,0.3635280504515329
1990-01-22 06:00:00,0.478277045366081
1990-01-23 06:00:00,0.4126199562979276
1990-01-24 06:00:00,0.33981612082916485
1990-01-25 06:00:00,0.1605349230538088
1990-01-26 06:00:00,0.46719803773487345
1990-01-27 06:00:00,1.3696218406703977
1990-01-28 06:00:00,1.0970884487012216
1990-01-29 06:00:00,0.8914094044231735
1990-01-30 06:00:00,0.8707107614777992
1990-01-31 06:00:00,1.09975165820886
1990-02-01 06:00:00,0.9066111705078652
1990-02-02 06:00:00,0.6463744782073276
1990-02-03 06:00:00,0.34601850857512423
1990-02-04 06:00:00,0.5369734686802029
1990-02-05 06:00:00,0.7675395898363169
1990-02-06 06:00:00,0.8123455227690576
1990-02-07 06:00:00,1.3156801567409164
1990-02-08 06:00:00,1.393870920141251
1990-02-09 06:00:00,0.9135569828283245
1990-02-10 06:00:00,0.5312835398602047
1990-02-11 06:00:00,0.861345894088764
1990-02-12 06:00:00,1.5132548215670651
1990-02-13 06:00:00,1.7556144288099198
1990-02-14 06:00:00,1.9604698892888945
1990-02-15 06:00:00,1.163218696348523
1990-02-16 06:00:00,1.182177930228149
1990-02-17 06:00:00,1.4530124062284537
1990-02-18 06:00:00,1.5107021271581418
1990-02-19 06:00:00,1.4299134999207836
1990-02-20 06:00:00,1.0434547175776931
1990-02-21 06:00:00,1.5855002400975806
1990-02-22 06:00:00,1.2752210856333497
1990-02-23 06:00:00,0.7716120516241097
1990-02-24 06:00:00,1.3974974026423388
1990-02-25 06:00:00,1.626767773869281
1990-02-26 06:00:00,1.639509692867286
1990-02-27 06:00:00,2.059247735840431
1990-02-28 06:00:00,1.7723067851077108
1990-03-01 06:00:00,1.086659663486782
1990-03-02 06:00:00,1.1231313490198667
1990-03-03 06:00:00,1.7945378317406393
1990-03-04 06:00:00,1.254456186908512
1990-03-05 06:00:00,0.7425484404015603
1990-03-06 06:00:00,0.5105276105261497
1990-03-07 06:00:00,1.082853584792447
1990-03-08 06:00:00,0.8858464890756526
1990-03-09 06:00:00,0.8441751415286807
1990-03-10 06:00:00,1.306646601448758
1990-03-11 06:00:00,1.6270483222561083
1990-03-12 06:00:00,1.2134005388824207
1990-03-13 06:00:00,1.327907506656186
1990-03-14 06:00:00,1.0899745117526074
1990-03-15 06:00:00,0.6869395694029317
1990-03-16 06:00:00,0.48633393069314185
1990-03-17 06:00:00,1.0749936046119835
1990-03-18 06:00:00,1.6994099929910993
1990-03-19 06:00:00,1.70991669578763
1990-03-20 06:00:00,1.8054285635881417
1990-03-21 06:00:00,2.0114822912731043
1990-03-22 06:00:00,2.9292319820076833
1990-03-23 06:00:00,1.622424279616039
1990-03-24 06:00:00,1.8711200090023867
1990-03-25 06:00:00,1.9044808528231902
1990-03-26 06:00:00,1.63390386733082
1990-03-27 06:00:00,1.3285566125945005
1990-03-28 06:00:00,1.9259562842890727
1990-03-29 06:00:00,1.8878114066173324
1990-03-30 06:00:00,1.8965613262623033
1990-03-31 06:00:00,0.9923244144333127
1990-04-01 06:00:00,1.0694194553373106
1990-04-02 06:00:00,1.4687151148344433
1990-04-03 06:00:00,1.1837056846738352
1990-04-04 06:00:00,1.9912701152354177
1990-04-05 06:00:00,1.5542824615598507
1990-04-06 06:00:00,1.6711811026222059
1990-04-07 06:00:00,1.603850461205685
1990-04-08 06:00:00,1.9747001831301085
1990-04-09 06:00:00,2.2065229636632813
1990-04-10 06:00:00,1.3063358294903207
1990-04-11 06:00:00,1.1897146418502569
1990-04-12 06:00:00,1.5821928862752987
1990-04-13 06:00:00,1.6558739778439253
1990-04-14 06:00:00,2.1562612030072184
1990-04-15 06:00:00,2.5438769367337986
1990-04-16 06:00:00,2.004986835717917
1990-04-17 06:00:00,2.956927982868702
1990-04-18 06:00:00,3.3718862887576586
1990-04-19 06:00:00,2.940525306768307
1990-04-20 06:00:00,3.103307789389403
1990-04-21 06:00:00,2.5635565073293525
1990-04-22 06:00:00,1.1167832353402403
1990-04-23 06:00:00,0.7236446636390447
1990-04-24 06:00:00,1.0817044441644343
1990-04-25 06:00:00,0.674048588610797
1990-04-26 06:00:00,0.8430116302677253
1990-04-27 06:00:00,1.473403441879301
1990-04-28 06:00:00,1.4901514735914168
1990-04-29 06:00:00,2.267919405796942
1990-04-30 06:00:00,2.275994669313761
1990-05-01 06:00:00,2.834955846066277
1990-05-02 06:00:00,2.688702833102129
1990-05-03 06:00:00,1.9276571540094931
1990-05-04 06:00:00,1.9771235349356113
1990-05-05 06:00:00,3.83188249531131
1990-05-06 06:00:00,4.6827731079309896
1990-05-07 06:00:00,5.163433654074156
1990-05-08 06:00:00,5.109757007248759
1990-05-09 06:00:00,4.978059393399529
1990-05-10 06:00:00,4.69756548756772
1990-05-11 06:00:00,4.755035272789298
1990-05-12 06:00:00,4.431572295875271
1990-05-13 06:00:00,5.119422713954512
1990-05-14 06:00:00,6.953429096743231
