observation,forecast,n_days,last_date,cumulative_mae_mm,cumulative_rmse_mm,endpoint_forecast_mm,endpoint_observed_mm,endpoint_bias_mm,endpoint_absolute_error_mm
IMERG Late,FuXi-S2S,42,2026-07-13,20.69847031680062,27.122417500286478,277.20477294921875,215.29926856631997,61.90550438289878,61.90550438289878
IMERG Late,ECMWF S2S,42,2026-07-13,40.35677820729462,48.8142568046749,305.65978479554434,215.29926856631997,90.36051622922437,90.36051622922437
IMD gauge,FuXi-S2S,42,2026-07-13,30.499000354934488,40.71758908489976,277.20477294921875,203.20094095043933,74.00383199877942,74.00383199877942
IMD gauge,ECMWF S2S,42,2026-07-13,51.97998175843155,62.88774776377621,305.65978479554434,203.20094095043933,102.45884384510501,102.45884384510501
