lead_day,valid_date,fuxi_mean,fuxi_p10,fuxi_p90,ecmwf_mean,ecmwf_p10,ecmwf_p90,imd_climatology_mm,era5_climatology_mm,imerg_late_mm,imd_gauge_mm,imd_gauge_gpm_merged_mm,imerg_late_cumulative_mm,imd_gauge_cumulative_mm,imd_gauge_gpm_merged_cumulative_mm
1,2026-06-02,1.5109633,1.4627153,1.5561149,2.1492054875825892,1.5593376896158526,3.0141579773235496,2.5081847,3.9407854,2.8430742476261712,2.554500168117484,3.0933692530965797,2.8430742476261712,2.554500168117484,3.0933692530965797
2,2026-06-03,3.145536,3.0493865,3.2465193,4.7190612640781335,3.603446523496207,5.95971122511568,5.124359,8.016804,2.701877969418575,2.1388581928891592,2.5858754839038727,5.544952217044746,4.693358361006643,5.679244737000452
3,2026-06-04,5.3331566,5.1372304,5.553459,8.316663004957647,6.075179422397529,10.758542809225398,7.915927,12.2327,4.543160478720528,2.577529628717055,1.8623113847161428,10.088112695765275,7.270887989723699,7.541556121716595
4,2026-06-05,7.9515014,7.715938,8.257563,12.778874284933016,9.230184278844638,17.280319190117282,10.669197,16.592478,2.653731787939873,4.181904896987707,4.161546491684686,12.741844483705147,11.452792886711405,11.703102613401281
5,2026-06-06,10.069106,9.711557,10.458592,17.919593368388245,12.949056500775512,24.66849727426168,14.310799,21.09902,3.084823907264741,1.9870763908103684,2.1583653168234505,15.826668390969889,13.439869277521774,13.861467930224732
6,2026-06-07,12.249494,11.750828,12.848219,23.52001753033163,16.836914499694963,32.280426841078764,18.101877,25.75423,3.6973544502095255,2.5638982449944367,2.6928099772032623,19.524022841179416,16.00376752251621,16.554277907427995
7,2026-06-08,14.606831,13.932235,15.503954,28.809524009123603,20.40259496207005,38.06230878033997,21.661427,30.560474,3.196193005767053,3.5053255939660173,3.4231844599930903,22.72021584694647,19.509093116482227,19.977462367421086
8,2026-06-09,17.22123,16.28545,18.335712,34.062653133740845,24.127241689289285,44.37851823403873,25.148754,35.519993,2.004662551445028,2.286822221796484,2.5366450909321228,24.724878398391496,21.79591533827871,22.51410745835321
9,2026-06-10,20.14821,18.666416,21.792923,39.04511064498351,26.722105232256226,50.74340915155727,28.650017,40.63539,2.821975836254512,1.976725178793753,1.968357557548147,27.54685423464601,23.772640517072464,24.482465015901354
10,2026-06-11,23.329845,21.534506,25.924726,43.46032523896071,29.16293304272758,56.45589828360636,32.954845,45.908817,3.937506148205249,3.070612053066577,3.2764875569710465,31.484360382851257,26.84325257013904,27.758952572872403
11,2026-06-12,27.015827,24.579134,29.371073,47.83640267711998,31.85164234002803,61.48822356207517,37.54956,51.340984,3.5669816220104416,3.6851386432442657,3.728781367973624,35.051342004861695,30.528391213383305,31.487733940846027
12,2026-06-13,31.378435,28.5303,34.205673,52.558675700078965,35.978389802112716,68.04800027136476,42.519554,56.93186,3.4196886747709043,4.209351993665935,4.090943096622261,38.4710306796326,34.73774320704924,35.57867703746829
