variable,region,week,init_date,model,pcc,rmse,bias,fcst_std,obs_std,fcst_mean,obs_mean
TP,All India,Week 1,2026-01-01,SPIRE,0.5019225541407599,0.6582908508759211,0.3187734980854229,0.6111535275140115,0.07801980740679561,0.3307143181934184,0.011940820107995541
Z500,All India,Week 1,2026-01-01,SPIRE,0.9543093647866179,18.365084663209736,17.178038947905417,21.690462219182184,21.12460089748775,5735.4008173317425,5718.222778383839
TP,All India,Week 1,2026-01-01,FuXi,0.9021621030585739,0.03634331974602058,7.563600792198629e-05,0.056675127439976755,0.07801980740679561,0.012016456115917526,0.011940820107995541
Z500,All India,Week 1,2026-01-01,FuXi,0.8933043323158549,12.330750788362938,-1.332253621734924,26.624856149361236,21.12460089748775,5716.890524762102,5718.222778383839
TP,All India,Week 1,2026-01-01,ECMWF,0.610967424707584,0.9650218352500718,0.32171830882262525,0.9553842447366278,0.07801980740679561,0.3336591289306208,0.011940820107995541
Z500,All India,Week 1,2026-01-01,ECMWF,0.9680295207784683,16.37493287137424,15.47961671826152,19.784079261850007,21.12460089748775,5733.702395102099,5718.222778383839
TP,All India,Week 1,2026-01-01,NCEP,0.1161789753604654,0.6668896368939393,0.32327386002386865,0.5871912972412219,0.07801980740679561,0.3352146801318642,0.011940820107995541
Z500,All India,Week 1,2026-01-01,NCEP,0.9741137862384895,5.221177408080269,-1.2595253337878634,22.271853879145443,21.12460089748775,5716.9632530500485,5718.222778383839
TP,All India,Week 1,2026-01-01,MME,0.543306420063579,0.49057596717204627,0.24096032573495962,0.4646594395171903,0.07801980740679561,0.25290114584295514,0.011940820107995541
Z500,All India,Week 1,2026-01-01,MME,0.9621939593844686,9.643893005061335,7.516469177661029,22.170790621589106,21.12460089748775,5725.739247561499,5718.222778383839
TP,All India,Week 1,2026-01-01,Persistence,0.16094574540593168,0.14762376765457094,0.019499637188721726,0.13698817289727558,0.07801980740679561,0.03144045729671726,0.011940820107995541
Z500,All India,Week 1,2026-01-01,Persistence,,,,,21.12460089748775,,5718.222778383839
TP,northwest_india,Week 1,2026-01-01,SPIRE,-0.4686685252176857,0.4320619640574711,0.27877541333289313,0.3101225468024741,0.03880442245660134,0.28326110669915144,0.004485693366258275
Z500,northwest_india,Week 1,2026-01-01,SPIRE,0.9272336933796479,21.631406455173583,20.793640228631038,15.668974885043609,13.47449171945208,5703.964072321122,5683.170432092492
TP,northwest_india,Week 1,2026-01-01,FuXi,0.9771668447687023,0.008246400274465531,0.00015257761160950172,0.037954711923833886,0.03880442245660134,0.004638270977867778,0.004485693366258275
Z500,northwest_india,Week 1,2026-01-01,FuXi,0.8160713968921445,13.68974214548646,3.5140130231480695,21.692599046113678,13.47449171945208,5686.684445115639,5683.170432092492
TP,northwest_india,Week 1,2026-01-01,ECMWF,-0.5765174119083748,0.2895926767411701,0.18101845645352585,0.201438615473918,0.03880442245660134,0.1855041498197841,0.004485693366258275
Z500,northwest_india,Week 1,2026-01-01,ECMWF,0.9608633082494195,20.246327909478687,19.768817758668234,15.221846161646656,13.47449171945208,5702.939249851159,5683.170432092492
TP,northwest_india,Week 1,2026-01-01,NCEP,-0.5968481843777091,0.5213705018663134,0.3124493547125896,0.39305260064192066,0.03880442245660134,0.3169350480788478,0.004485693366258275
Z500,northwest_india,Week 1,2026-01-01,NCEP,0.9608615632134222,3.8583229813579427,-0.9613135059592444,12.778147073708498,13.47449171945208,5682.209118586532,5683.170432092492
TP,northwest_india,Week 1,2026-01-01,MME,-0.5983721668484725,0.2906393730375636,0.1930989505276545,0.19176284271326932,0.03880442245660134,0.19758464389391286,0.004485693366258275
Z500,northwest_india,Week 1,2026-01-01,MME,0.9301328144998636,12.32741250362047,10.778789376121978,15.894411521345702,13.47449171945208,5693.949221468612,5683.170432092492
TP,northwest_india,Week 1,2026-01-01,Persistence,-0.2271521287582532,0.14406916778680992,0.05988543720326519,0.11665091377574063,0.03880442245660134,0.06437113056952347,0.004485693366258275
Z500,northwest_india,Week 1,2026-01-01,Persistence,,,,,13.47449171945208,,5683.170432092492
TP,central_india,Week 1,2026-01-01,SPIRE,-0.23925922862769478,0.2899172263002307,0.15105254764497336,0.23416355036517947,0.04165453936574083,0.15225310755186536,0.0012005599068919818
Z500,central_india,Week 1,2026-01-01,SPIRE,0.9685626058082526,25.16580921301767,24.933544183310875,13.707934035339209,13.190986061955899,5788.451901456539,5763.518357273228
TP,central_india,Week 1,2026-01-01,FuXi,0.9950301799858949,0.004820938173268942,0.00151192813817424,0.03951049056886289,0.04165453936574083,0.0027124880450662223,0.0012005599068919818
