variable,region,week,init_date,model,crps,crps_clim,crpss,rmse,spread,ssr
TP,All India,Week 1,2026-01-01,SPIRE,0.21033279491113094,0.8415708476694667,0.7500711966275942,0.9384785761997726,0.28784152801393076,0.3067108139852287
TP,northwest_india,Week 1,2026-01-01,SPIRE,0.18726750411305587,0.7533530077081064,0.751421309536187,0.6011904141436126,0.20366412126869154,0.3387680782615409
TP,central_india,Week 1,2026-01-01,SPIRE,0.08723389021728765,0.5555030658773168,0.8429641606396583,0.24535963697457583,0.1852932597690165,0.7551904708279976
TP,south_peninsula,Week 1,2026-01-01,SPIRE,0.25705159505593006,0.4052486700745072,0.3656941674634745,0.9512466480203641,0.4637728708667946,0.48754218669989596
TP,east_northeast_india,Week 1,2026-01-01,SPIRE,0.18810662514182827,1.8187966861488387,0.8965763317173567,0.5857084134708629,0.2322938404383024,0.39660321602987914
TP,All India,Week 2,2026-01-01,SPIRE,0.2661289052245457,0.9173578009460064,0.7098962858874631,1.2314814974197146,0.6408172232970916,0.5203628512809785
TP,northwest_india,Week 2,2026-01-01,SPIRE,0.13968875759455382,0.7781729226949012,0.8204913669948888,0.24561403702087883,0.4261270108920132,1.7349456735479234
TP,central_india,Week 2,2026-01-01,SPIRE,0.19661098296499238,0.5765047855929619,0.6589603627266183,0.2925059260337329,0.671035404318192,2.2940916562517972
TP,south_peninsula,Week 2,2026-01-01,SPIRE,0.8186155824581336,0.9131937346776399,0.10356855136866727,2.9930675964563607,1.431547225202768,0.4782876360352325
TP,east_northeast_india,Week 2,2026-01-01,SPIRE,0.18787828648569188,1.8927223334431391,0.9007364772074551,0.3884947406307387,0.5248972166719564,1.3511050775610558
TP,All India,Week 3,2026-01-01,SPIRE,0.5291192139359859,0.8931975305695227,0.4076123188578369,1.5149078388855142,1.3302216348070552,0.8780874985673527
TP,northwest_india,Week 3,2026-01-01,SPIRE,0.6600436230993635,0.8327733087262604,0.2074150117648339,1.893155488544498,1.4461322977215665,0.7638740222195836
