week,date_range,IMD,FuXi,ECMWF,FuXi bias,ECMWF bias,FuXi absolute error,ECMWF absolute error
1,2 Jun–8 Jun,19.509093116482227,14.606831,28.809524009123603,-4.902262116482227,9.300430892641376,4.902262116482227,9.300430892641376
2,9 Jun–15 Jun,20.776935533691507,24.820569,32.91748092866045,4.043633466308492,12.140545394968946,4.043633466308492,12.140545394968946
3,16 Jun–22 Jun,18.511057616591835,41.23888,48.64019290720751,22.727822383408167,30.12913529061568,22.727822383408167,30.12913529061568
4,23 Jun–29 Jun,30.098543212300633,61.20469,66.58996141828514,31.106146787699366,36.49141820598451,31.106146787699366,36.49141820598451
5,30 Jun–6 Jul,66.58578449406292,77.33161999999999,66.20217124462178,10.745835505937066,-0.38361324944114017,10.745835505937066,0.38361324944114017
6,7 Jul–13 Jul,47.71952697731021,58.00218000000001,62.50045428764585,10.2826530226898,14.780927310335642,10.2826530226898,14.780927310335642
