issue_date,model,member,event_start,event_end,event_total_mm,imd_climatology_mm,imd_observed_mm
2026-06-01,FuXi-S2S,1,2026-07-01,2026-07-07,75.12567901611328,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,2,2026-07-01,2026-07-07,79.47257232666016,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,3,2026-07-01,2026-07-07,78.07488250732422,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,4,2026-07-01,2026-07-07,77.508056640625,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,5,2026-07-01,2026-07-07,59.536590576171875,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,6,2026-07-01,2026-07-07,67.60269927978516,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,7,2026-07-01,2026-07-07,66.69231414794922,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,8,2026-07-01,2026-07-07,97.39080810546875,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,9,2026-07-01,2026-07-07,54.39497375488281,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,10,2026-07-01,2026-07-07,82.95559692382812,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,11,2026-07-01,2026-07-07,76.38727569580078,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,12,2026-07-01,2026-07-07,94.8056869506836,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,13,2026-07-01,2026-07-07,85.94799041748047,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,14,2026-07-01,2026-07-07,64.8975830078125,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,15,2026-07-01,2026-07-07,67.4994888305664,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,16,2026-07-01,2026-07-07,87.44755554199219,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,17,2026-07-01,2026-07-07,67.778564453125,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,18,2026-07-01,2026-07-07,50.47389221191406,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,19,2026-07-01,2026-07-07,84.55360412597656,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,20,2026-07-01,2026-07-07,66.5674819946289,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,21,2026-07-01,2026-07-07,71.34352111816406,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,22,2026-07-01,2026-07-07,77.07694244384766,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,23,2026-07-01,2026-07-07,72.4617919921875,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,24,2026-07-01,2026-07-07,77.93233489990234,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,25,2026-07-01,2026-07-07,66.85592651367188,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,26,2026-07-01,2026-07-07,96.61865234375,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,27,2026-07-01,2026-07-07,47.665863037109375,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,28,2026-07-01,2026-07-07,85.23934173583984,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,29,2026-07-01,2026-07-07,82.82374572753906,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,30,2026-07-01,2026-07-07,30.337223052978516,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,31,2026-07-01,2026-07-07,78.10319519042969,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,32,2026-07-01,2026-07-07,77.70950317382812,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,33,2026-07-01,2026-07-07,56.21057891845703,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,34,2026-07-01,2026-07-07,80.30268859863281,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,35,2026-07-01,2026-07-07,87.74380493164062,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,36,2026-07-01,2026-07-07,68.05602264404297,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,37,2026-07-01,2026-07-07,72.24063873291016,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,38,2026-07-01,2026-07-07,89.36589050292969,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,39,2026-07-01,2026-07-07,78.79817199707031,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,40,2026-07-01,2026-07-07,69.09673309326172,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,41,2026-07-01,2026-07-07,71.23362731933594,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,42,2026-07-01,2026-07-07,81.49610137939453,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,43,2026-07-01,2026-07-07,98.35953521728516,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,44,2026-07-01,2026-07-07,76.59931945800781,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,45,2026-07-01,2026-07-07,89.54016876220703,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,46,2026-07-01,2026-07-07,69.01797485351562,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,47,2026-07-01,2026-07-07,62.58545684814453,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,48,2026-07-01,2026-07-07,87.94426727294922,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,49,2026-07-01,2026-07-07,86.39053344726562,50.88131332397461,71.09912836317147
2026-06-01,FuXi-S2S,50,2026-07-01,2026-07-07,68.96463012695312,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,1,2026-07-01,2026-07-07,46.54738612483351,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,2,2026-07-01,2026-07-07,94.58188774083442,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,3,2026-07-01,2026-07-07,49.23596338018601,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,4,2026-07-01,2026-07-07,93.06073590684889,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,5,2026-07-01,2026-07-07,68.95112756181447,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,6,2026-07-01,2026-07-07,76.30771607373308,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,7,2026-07-01,2026-07-07,56.05431658569714,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,8,2026-07-01,2026-07-07,82.65545131517439,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,9,2026-07-01,2026-07-07,33.45118276527069,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,10,2026-07-01,2026-07-07,61.76434696382819,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,11,2026-07-01,2026-07-07,69.3967852875924,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,12,2026-07-01,2026-07-07,62.325012610640385,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,13,2026-07-01,2026-07-07,58.186846314536524,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,14,2026-07-01,2026-07-07,36.61572358168266,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,15,2026-07-01,2026-07-07,94.17398800490588,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,16,2026-07-01,2026-07-07,52.25902153778867,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,17,2026-07-01,2026-07-07,64.27543719495546,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,18,2026-07-01,2026-07-07,95.404425441205,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,19,2026-07-01,2026-07-07,51.38261822471483,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,20,2026-07-01,2026-07-07,71.89889175061393,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,21,2026-07-01,2026-07-07,43.529734563609736,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,22,2026-07-01,2026-07-07,70.97405844307221,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,23,2026-07-01,2026-07-07,60.21683662497651,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,24,2026-07-01,2026-07-07,53.07854441600804,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,25,2026-07-01,2026-07-07,41.75720913272633,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,26,2026-07-01,2026-07-07,58.837694046674784,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,27,2026-07-01,2026-07-07,51.192380176768495,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,28,2026-07-01,2026-07-07,88.0943067621576,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,29,2026-07-01,2026-07-07,72.25394163299902,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,30,2026-07-01,2026-07-07,30.722965547100472,50.88131332397461,71.09912836317147
2026-06-01,ECMWF S2S,31,2026-07-01,2026-07-07,70.56833664915607,50.88131332397461,71.09912836317147
