case,status,model,n_days,rmse_mm,mae_mm,endpoint_bias_mm,endpoint_abs_error_mm,endpoint_forecast_mm
"1 Jun issue
42/42 days",Complete,FuXi-S2S,42,40.717588787754636,30.49900004329287,74.00382904956066,74.00382904956066,277.20477
"1 Jun issue
42/42 days",Complete,ECMWF S2S,42,62.88774776377621,51.97998175843155,102.45884384510501,102.45884384510501,305.65978479554434
"23 Jun issue
25/42 days",Partial to 18 Jul,FuXi-S2S,25,19.3382164130556,13.296479472261126,43.441767548793536,43.441767548793536,206.43234
"23 Jun issue
25/42 days",Partial to 18 Jul,ECMWF S2S,25,38.7323308690987,33.32702462574122,68.89206430390516,68.89206430390516,231.88263675511163
