lead_day,valid_date,fuxi_mean,fuxi_p10,fuxi_p90,fuxi_member00,imd_1991_2020_climatology,imd_gauge_observation
1,2026-06-24,4.943638305664063,4.818480682373047,5.046395206451416,4.976633071899414,5.862085819244385,4.557225123050768
2,2026-06-25,9.52930456161499,9.245194816589356,9.84008731842041,9.288468360900879,11.637107849121094,8.598140882231874
3,2026-06-26,13.541473083496093,13.011128425598145,14.05390043258667,12.912670135498047,17.987516403198242,11.258839708812
4,2026-06-27,18.16291301727295,17.368190383911134,19.199330139160157,17.368255615234375,24.51185417175293,14.352227038476574
5,2026-06-28,24.021381225585937,23.318699264526366,25.046105003356935,23.41653060913086,31.722824096679688,18.98341592490034
6,2026-06-29,30.769372367858885,29.81604747772217,32.03342781066895,30.25838279724121,39.03831481933594,25.60233952092061
7,2026-06-30,38.93562919616699,37.69372711181641,40.522146987915036,38.39616394042969,46.27292251586914,32.38692505510112
8,2026-07-01,47.70980903625488,45.97800750732422,49.59137115478516,47.50556182861328,52.74162292480469,39.95347757018133
9,2026-07-02,56.60018310546875,54.28271293640137,58.99262466430664,56.76814651489258,59.771846771240234,49.553778072654616
10,2026-07-03,66.59964462280273,63.43443260192871,69.44902420043945,66.91229248046875,67.13944244384766,58.81724637128957
11,2026-07-04,77.54727996826172,73.92620086669922,80.80754623413085,77.02662658691406,74.71382904052734,68.84667005774348
12,2026-07-05,88.18840454101563,84.43193435668945,91.96041488647461,87.0931167602539,82.15406036376953,79.41671754148685
13,2026-07-06,97.30835205078125,93.31892776489258,102.4009506225586,96.63186645507812,89.69395446777344,92.18812401498356
14,2026-07-07,105.87150726318359,101.7085792541504,111.8331687927246,107.6387939453125,97.15423583984375,103.4860534182726
15,2026-07-08,115.28290588378906,110.275244140625,120.63213348388672,119.44185638427734,104.84295654296875,114.14096182543558
16,2026-07-09,125.76304550170899,119.22256851196289,131.62982635498048,131.73300170898438,112.92082214355469,122.88024942183324
17,2026-07-10,136.28145156860353,130.05882263183594,142.04232025146484,141.9834747314453,121.8322982788086,129.47591186055757
18,2026-07-11,145.89377227783203,138.94996337890626,151.51539154052733,150.36647033691406,131.23739624023438,134.3813119414091
19,2026-07-12,155.00456176757814,148.99866333007813,161.02413330078124,159.22377014160156,140.2422637939453,136.83159037216666
20,2026-07-13,164.23977813720703,158.46566314697264,170.40770416259767,171.4083251953125,148.09568786621094,139.90765099229378
21,2026-07-14,173.43282775878907,167.07591400146484,181.6917724609375,182.2325897216797,155.71873474121094,142.08320201932378
22,2026-07-15,182.32276641845704,174.44383392333984,189.8223388671875,189.7484130859375,164.08364868164062,144.88965854343058
23,2026-07-16,190.55576416015626,181.36626586914062,199.7596908569336,195.56906127929688,173.1554718017578,149.4432915115832
24,2026-07-17,198.47714752197265,189.09207153320312,208.15277862548828,202.10084533691406,181.84402465820312,155.97587595412654
25,2026-07-18,206.43246398925783,194.11851196289064,217.9443374633789,210.0346221923828,190.02902221679688,162.99057245120648
26,2026-07-19,214.4089190673828,199.7982177734375,227.49581146240234,219.50196838378906,198.5474395751953,
27,2026-07-20,222.35851348876952,206.45289764404296,236.04305267333984,229.51907348632812,207.8284454345703,
28,2026-07-21,230.39092193603517,210.48639373779298,247.51808013916016,236.19403076171875,217.1765594482422,
29,2026-07-22,238.48206817626954,216.67110443115234,258.83542785644534,239.77752685546875,226.1159210205078,
30,2026-07-23,246.7772122192383,222.53482055664062,271.120166015625,242.56088256835938,234.59429931640625,
31,2026-07-24,254.87006378173828,229.47185516357422,277.12461853027344,245.251220703125,242.81195068359375,
32,2026-07-25,262.8673629760742,235.21578369140624,285.4368194580078,248.8751220703125,251.41114807128906,
33,2026-07-26,271.4330447387695,243.42533111572266,295.4488250732422,255.26373291015625,260.6328125,
34,2026-07-27,280.23897033691406,250.61768035888673,304.9936950683594,264.1428527832031,269.9734191894531,
35,2026-07-28,288.89868316650393,256.150617980957,317.13006591796875,273.3897705078125,279.2864685058594,
36,2026-07-29,296.9046115112305,264.1302886962891,329.0491546630859,281.5473937988281,288.011962890625,
37,2026-07-30,304.67319122314456,274.7953308105469,333.88392333984376,289.97149658203125,296.29071044921875,
38,2026-07-31,312.65335754394533,283.1724090576172,340.9924011230469,298.60699462890625,304.1714782714844,
39,2026-08-01,320.81614562988284,287.67247619628904,350.94891662597655,306.51708984375,312.2778015136719,
40,2026-08-02,328.7669738769531,292.48638916015625,359.86595458984374,313.2201843261719,320.4346008300781,
41,2026-08-03,336.41862243652344,296.71636657714845,369.16270141601564,319.0323791503906,328.7814636230469,
42,2026-08-04,344.11229125976564,303.55706481933595,378.75714111328125,324.7194519042969,337.6193542480469,
