selection,target_percentile,target_delta_acc,case_id,erpas_init,fuxi_init,year,four_week_mean_delta_acc,delta_rank_of_31,selection_rule
challenging,0.25,-0.014422397525243056,paired_20230614,2023-06-14,2023-06-12,2023,0.0014281183177221827,9,nearest percentile of four-week mean FuXi-minus-ERPAS IMERG ACC; ties earliest ERPAS IC
typical,0.5,0.0835364403282409,paired_20240724,2024-07-24,2024-07-22,2024,0.0835364403282409,16,nearest percentile of four-week mean FuXi-minus-ERPAS IMERG ACC; ties earliest ERPAS IC
fuxi_favoring,0.75,0.2982946663593252,paired_20230802,2023-08-02,2023-07-31,2023,0.30041203002220285,24,nearest percentile of four-week mean FuXi-minus-ERPAS IMERG ACC; ties earliest ERPAS IC
