season,variable,model,region,init_date,scale,lead,week,crps,crps_clim,crps_pers,crpss_clim,crpss_pers,spread,rmse,ssr
JFM2026,T2M,ECMWF,All India,2026-01-01,daily,1,Week 1,3.5727623902103374,1.358584964668832,,-1.629767355832053,,0.5263489466105729,4.27408364986874,0.12314895770155021
JFM2026,T2M,ECMWF,All India,2026-01-08,daily,1,Week 1,4.16528293714662,1.6728614563276238,1.2359386908757213,-1.4899150622374462,-2.37013718228638,0.5170568636402686,5.0547313246271095,0.10229166110592677
JFM2026,T2M,ECMWF,All India,2026-01-15,daily,1,Week 1,4.578699790522147,1.4291422631144237,1.160564823402275,-2.203809661708643,-2.9452339914106442,0.5326091143079985,5.295788318264335,0.10057220611917475
JFM2026,T2M,ECMWF,All India,2026-01-22,daily,1,Week 1,3.9286023099470175,1.5045091388911973,1.2368265500608746,-1.6112186416111394,-2.1763567088316935,0.5390592451287387,4.671175377210316,0.11540120025437187
JFM2026,T2M,ECMWF,All India,2026-01-29,daily,1,Week 1,4.135282585077459,1.3555595789849917,1.0710781712210786,-2.050609245942441,-2.8608597357212924,0.5279123269317123,5.049230046710153,0.10455303522478161
JFM2026,T2M,ECMWF,All India,2026-02-05,daily,1,Week 1,4.682395446664379,1.2528446456356082,0.555268355542394,-2.737411069262183,-7.4326711578774365,0.5552959659725195,5.590469152518532,0.09932904570671965
JFM2026,T2M,ECMWF,All India,2026-02-12,daily,1,Week 1,4.909989900719509,1.3135983834097238,0.8881152207098078,-2.7378166437557474,-4.528550559909672,0.5920748185798069,5.721279881830912,0.10348642800364669
JFM2026,T2M,ECMWF,All India,2026-02-19,daily,1,Week 1,4.382010457558279,1.3404187922324668,0.965799011757026,-2.269135350049847,-3.5371867274810356,0.5073155286928511,5.31587631595277,0.09543403543276842
JFM2026,T2M,ECMWF,All India,2026-02-26,daily,1,Week 1,5.03741755333844,1.3255305836481572,0.8687773986858942,-2.8003027734556967,-4.798283381862832,0.5896465979016409,5.787914221093235,0.1018754900949909
JFM2026,T2M,ECMWF,All India,2026-03-05,daily,1,Week 1,5.509880158872896,2.0253839183581617,1.9294311360765029,-1.7204127123411612,-1.8557018987872427,0.5987665305300454,6.272977211824667,0.09545173054372977
JFM2026,T2M,ECMWF,All India,2026-03-12,daily,1,Week 1,5.5005377133325775,1.7653568597478477,0.9134296271361243,-2.1158219840708234,-5.021851656573054,0.6239924914802694,6.149618027946246,0.1014684958715494
JFM2026,T2M,ECMWF,All India,2026-03-19,daily,1,Week 1,3.8298243865616426,1.6854375257405485,1.9071822769574387,-1.2723027867075003,-1.0081061117406294,0.5894029582799082,4.569651522243958,0.12898203624736748
