season,variable,model,region,init_date,scale,lead,week,pcc,rmse,bias,msss_clim,msss_pers,fcst_std,obs_std,fcst_mean,obs_mean,std_ratio
JFM2026,T2M,ECMWF,All India,2026-01-01,daily,1,Week 1,0.6652845142283967,4.27408364986874,-3.653541775553891,-4.415393529269495,,2.9650346294949426,1.8343494516192407,284.5472510784632,288.2007928540171,1.6163957346718254
JFM2026,T2M,ECMWF,All India,2026-01-08,daily,1,Week 1,0.4014226787104355,5.0547313246271095,-4.29307752368393,-2.255989241051267,-7.934485842402982,2.845025110159406,1.716445819372236,281.59191191052787,285.8849894342118,1.65750941745422
JFM2026,T2M,ECMWF,All India,2026-01-15,daily,1,Week 1,0.6534525695142703,5.295788318264335,-4.675946443976256,-6.112046634870357,-9.738274380361698,3.2769342976257207,1.9744182149335432,283.4388148824256,288.11476132640195,1.6596961438263569
JFM2026,T2M,ECMWF,All India,2026-01-22,daily,1,Week 1,0.7058981077748379,4.671175377210316,-3.6698504448357654,-3.555632932257355,-6.979541023477774,3.92483756248073,1.9808559318796186,286.01030288177276,289.6801533266086,1.9813846627182434
JFM2026,T2M,ECMWF,All India,2026-01-29,daily,1,Week 1,0.36519889109675296,5.049230046710153,-4.356357373073857,-8.031798594684263,-10.426774092916835,2.6577874761871456,1.5992269852618637,284.47571029693995,288.8320676700138,1.6619201030752673
JFM2026,T2M,ECMWF,All India,2026-02-05,daily,1,Week 1,0.2236584851961883,5.590469152518532,-4.85999463178286,-21.4735781172117,-34.81188943581649,2.783474292249495,1.1456479759166027,284.933209653879,289.79320428566194,2.4296069567290166
JFM2026,T2M,ECMWF,All India,2026-02-12,daily,1,Week 1,0.1601363805211471,5.721279881830912,-4.96887700488409,-16.29212077864314,-25.454241715813644,2.718000002505451,1.354611297276148,286.1490348413028,291.11791184618687,2.006479650635429
JFM2026,T2M,ECMWF,All India,2026-02-19,daily,1,Week 1,0.12652567671779483,5.31587631595277,-4.575263214354729,-11.038657656675829,-17.305113689745202,2.507736278201097,1.38380189106698,287.83845955759483,292.41372277194955,1.8122075814389207
JFM2026,T2M,ECMWF,All India,2026-02-26,daily,1,Week 1,0.15236547721630647,5.787914221093235,-4.912101667697965,-11.017530057682384,-25.136950716449654,2.915820765396746,1.4770209775795322,288.5662627764199,293.4783644441178,1.9741227847522156
JFM2026,T2M,ECMWF,All India,2026-03-05,daily,1,Week 1,0.7463828038085657,6.272977211824667,-5.644720761632873,-1.832500940243908,-4.123455885188903,4.0679123756803595,2.6386139193004037,290.67255955922866,296.31728032086147,1.541685331804403
JFM2026,T2M,ECMWF,All India,2026-03-12,daily,1,Week 1,0.5175031975689282,6.149618027946246,-5.563413359107766,-2.946972769969094,-22.97691461503599,3.031327766900232,1.9404391500117182,291.5461376982129,297.1095510573207,1.5621864601535822
JFM2026,T2M,ECMWF,All India,2026-03-19,daily,1,Week 1,0.7811589608090359,4.569651522243958,-3.8765205263407556,-1.7636218584442815,-2.4540982475826585,3.819731371038877,2.5750116840946955,290.8709166757092,294.74743720205,1.4833840928305502
JFM2026,T2M,ECMWF,All India,2026-03-26,daily,1,Week 1,0.32308048356340063,5.906928195147406,-5.257625062816594,-17.607397769302114,-3.298339216743547,2.8442783130020017,0.9797100714251297,292.35739096924374,297.61501603206045,2.903183702975094
JFM2026,T2M,ECMWF,All India,2026-01-01,daily,2,Week 1,0.31309909828559,4.601996401135248,-3.862239437321938,-14.202220304587795,,2.6134249207039337,1.1361267283488925,283.9104538255622,287.7726932628841,2.3002934932284935
JFM2026,T2M,ECMWF,All India,2026-01-08,daily,2,Week 1,0.37605612044647424,4.845105073070092,-4.072746552993751,-2.583187937994535,-8.767637758849132,2.760057216981249,1.627151847551499,282.06944708386357,286.14219363685726,1.6962505503924052
JFM2026,T2M,ECMWF,All India,2026-01-15,daily,2,Week 1,0.7578464427961573,5.420764264928827,-4.617905456859761,-4.6682483151623835,-4.390529636451654,4.143036768869105,2.271952259959987,283.9072881672078,288.52519362406747,1.8235580218318808
