variable,region,week,init_date,model,crps,crps_clim,crpss,rmse,spread,ssr
TP,All India,Week 1,2026-01-01,SPIRE,0.17610756638089603,0.7355081921984399,0.7605634196207807,0.5417199541629251,0.26407772729874396,0.4874801551417861
TP,northwest_india,Week 1,2026-01-01,SPIRE,0.22949278885919916,0.7566478769074196,0.6966980337046806,0.7006140022497498,0.216789128966371,0.3094273426883233
TP,central_india,Week 1,2026-01-01,SPIRE,0.07000501171155975,0.21484834490935042,0.674165459635742,0.1401670675734678,0.1728827734977163,1.2334050821681115
TP,south_peninsula,Week 1,2026-01-01,SPIRE,0.2716984566995247,0.48815710512057614,0.4434200509436108,0.6849011248284751,0.5312231676863701,0.7756202295906702
TP,east_northeast_india,Week 1,2026-01-01,SPIRE,0.18301509118717604,2.1869287431773015,0.9163141040794586,0.5191038390092704,0.24332206123822653,0.46873485216872224
TP,All India,Week 2,2026-01-01,SPIRE,0.36710716412191363,0.9081541442463744,0.5957655796125282,1.6257481101452187,0.8236036302822237,0.5065997771380807
TP,northwest_india,Week 2,2026-01-01,SPIRE,0.17016828290966185,0.7838251901206427,0.7829002116103587,0.2796272388415159,0.5171492614347241,1.849423767073809
TP,central_india,Week 2,2026-01-01,SPIRE,0.19236300561050848,0.21507911235834629,0.10561744698848385,0.2515012469452,0.6931138204986114,2.7559060995416655
TP,south_peninsula,Week 2,2026-01-01,SPIRE,1.1670739634764355,1.3126634299141042,0.11091149728091043,3.7257431676649184,1.801046674635195,0.48340601957380425
TP,east_northeast_india,Week 2,2026-01-01,SPIRE,0.20108926560658544,2.2601200902688245,0.9110271766211028,0.394531263954679,0.5748030534662681,1.4569264998281541
TP,All India,Week 3,2026-01-01,SPIRE,0.47914574839823704,0.7423688529518869,0.3545718594024976,0.9129374358967657,1.470649400854164,1.6108983409247157
TP,northwest_india,Week 3,2026-01-01,SPIRE,0.647463188566186,0.8107850069877364,0.20143665338402184,1.351225897923666,1.6203918733578615,1.1992013147822314
TP,central_india,Week 3,2026-01-01,SPIRE,0.3650902885875499,0.215967756589073,-0.690485164793446,0.4332774674361767,1.3503233975298605,3.1165327048279243
TP,south_peninsula,Week 3,2026-01-01,SPIRE,0.48637562037481175,0.4058960304215757,-0.1982763661661031,0.789542008056666,1.6980179762642345,2.150636646229426
TP,east_northeast_india,Week 3,2026-01-01,SPIRE,0.36315586230299074,2.2145537982401033,0.8360139805176152,0.6348388516917729,1.1356189095943439,1.7888301992986873
TP,All India,Week 4,2026-01-01,SPIRE,1.5705709311966964,1.7242570766322862,0.08913180494857542,5.660050740435235,2.017352115125099,0.3564194399730722
TP,northwest_india,Week 4,2026-01-01,SPIRE,3.683856581066249,3.532990186595098,-0.04270218327907327,9.56687913476249,3.083668011626709,0.32232747672350154
TP,central_india,Week 4,2026-01-01,SPIRE,0.5101399256442077,0.3597409040544433,-0.41807595381759244,1.7224284548416309,1.4613934087065918,0.8484494114102173
TP,south_peninsula,Week 4,2026-01-01,SPIRE,0.6024243475023807,0.6550082018104746,0.08027968835008403,2.4328512284169226,1.2771297908354453,0.52495186549754
TP,east_northeast_india,Week 4,2026-01-01,SPIRE,0.5828841189977835,2.222447236114335,0.7377287030593888,1.0163099898525234,1.8799598258698753,1.8497897734358353
TP,All India,Week 5,2026-01-01,SPIRE,0.7084939624452257,0.7542081659831894,0.06061218321386175,1.1887486204427962,2.401035275527023,2.0198006830347888
